arm,seed,description,teacher_mse_train_final,teacher_mse,free_run_rmse,jx_err_mean,jx_err_max,ju_err_mean,ju_err_max,equilibrium_drift,homogeneity_flatness,jx_far_from_origin,jx_at_origin,jx_origin_spike_ratio,directional_asymmetry_at_smallest_eps,directional_asymmetry_at_largest_eps,sigma_jx_err_correlation
arm_6,6,"S4 + LN postnorm - full model, placement swapped",3.7746187996712775e-05,3.77461879967001e-05,0.005817740238609873,0.24703395608245948,1.0249062656300685,0.28388808680498845,1.2973342482372614,-1.1976345253362388,5.338399616525224,-2.0241003130197177e-06,8.834663918378876,4364736.2047973825,8.603817074348541e-06,0.8470717139573054,
arm_6,7,"S4 + LN postnorm - full model, placement swapped",7.541117859930191e-06,7.5411178597928815e-06,0.14168720190796916,0.5339818710315108,1.566394459949551,0.6014611616104486,2.5618218735853073,-6.77435914404731,4.2101145718234365,-1.2516533850233963e-06,6.6926890677585105,5347078.630425634,1.8381988564408758e-05,1.8357302090156158,
arm_7,0,S4 + LN prenorm AND postnorm combined (user-requested),2.6688234981031082e-05,2.668823498584292e-05,0.005535494167198519,0.3165117375077397,0.9712041169200006,0.35906482746946544,1.0564031149308848,1.439447735356408,4.202860339329849,-2.0764864957697295e-06,-3.698034270820953,1780909.3766584476,0.00012705112267047403,12.086837785035645,0.4224390321035396
arm_7,1,S4 + LN prenorm AND postnorm combined (user-requested),1.5904621554825104e-05,1.5904621551304493e-05,0.0049096797027388915,0.5741341997525065,3.276356899632658,0.676405974363201,3.143661846450665,4.1513389520295005,1.914957345150059,-0.00010479054989547898,2.5022610699502796,23878.690134235432,5.383157908323e-06,0.5752277607190797,0.1210100828163219
arm_7,2,S4 + LN prenorm AND postnorm combined (user-requested),0.0001586922223456907,0.0001586922223257358,0.35458066546567824,0.7658465678717973,2.0445903446940505,1.0089974299462425,3.1807717738700454,7.104415229546707,4.258461503032221,-1.3928977506086465e-05,3.3509532502357944,240574.24522162863,7.020526831613694e-05,6.146449886968064,-0.04748285770001446
arm_7,3,S4 + LN prenorm AND postnorm combined (user-requested),2.7295386232379736e-05,2.729538623237555e-05,0.00754590504377723,0.5533789460798636,1.0252901584547063,0.5874632412922032,1.3719714912604248,0.411404170926034,4.524844467637678,-3.130035459200547e-05,3.559382196334081,113716.99275391578,7.056711741004751e-05,5.186968378480826,0.23200524602529796
arm_7,4,S4 + LN prenorm AND postnorm combined (user-requested),0.0001750728233890615,0.00017507282338770022,0.010846149416727666,0.6188642388028316,1.6783683565355876,0.6647862181407134,2.654931654114481,-6.307651609320801,3.8998226271264587,-2.469954164163106e-05,-0.7071990968470907,28632.073708408705,0.00017847903987938674,17.94457704363632,0.04080894667577642
arm_7,5,S4 + LN prenorm AND postnorm combined (user-requested),0.0003982752708731171,0.000398275270873528,0.0564712632573905,0.6536428406447709,1.880696457116077,0.7126213946057334,6.40924079257389,-0.5799875168123662,12.570875294217153,-5.064592666722433e-05,15.72677103374367,310523.90722512535,7.104037897520676e-05,4.635571337253095,0.03659882233596814
arm_7,6,S4 + LN prenorm AND postnorm combined (user-requested),0.0008062195610564736,0.000806219561046354,0.0671757932818343,0.4008825470167895,1.4791473555566161,0.42519490998671733,1.8501911398421145,4.172713122896933,2.073310831686987,2.179198464901332e-05,2.3393961708681634,107351.22149482997,0.00010213601775110881,0.5491714067283159,0.4836891404636283
arm_7,7,S4 + LN prenorm AND postnorm combined (user-requested),1.7470687459820756e-05,1.7470687461026294e-05,0.004596899801863715,0.5565344671053493,1.3802758532965127,0.5936045918279563,1.8489541138383672,-0.0033558209323175103,3.6654459774315113,-1.6293298582181835e-05,6.273041745529021,385007.47493752727,6.654024299279637e-05,3.7247877019372853,0.5343200483331294
