arm,seed,description,teacher_mse_train_final,teacher_mse,free_run_rmse,jx_err_mean,jx_err_max,ju_err_mean,ju_err_max,equilibrium_drift,homogeneity_flatness,jx_far_from_origin,jx_at_origin,jx_origin_spike_ratio,directional_asymmetry_at_smallest_eps,directional_asymmetry_at_largest_eps,sigma_jx_err_correlation
arm_2,4,"linear + LayerNorm, no memory - KEY ARM",1.650677209060691e-15,1.6506772064576711e-15,3.9995796088608643e-08,3.873973895747913e-09,8.918357163878454e-09,6.271552609460329e-09,1.6044752637611737e-08,2.1124907914962798e-08,1.0346697610567002e-07,2.999999969677918,3.000000117169956,1.0000000491640133,4.75175454539567e-13,4.683857846021766e-08,0.4355450645215288
arm_2,5,"linear + LayerNorm, no memory - KEY ARM",1.3656089011627497e-16,1.3656088291671095e-16,1.1490082860880831e-08,1.5082822428051183e-09,5.207677844509817e-09,2.304907442685078e-09,7.698816473222792e-09,-1.4363302158759694e-08,9.384903313238663e-08,3.000000007977652,2.9999998835218307,0.9999999585147263,1.875277710894352e-12,1.4634161205062668e-07,0.5205083945734917
arm_2,6,"linear + LayerNorm, no memory - KEY ARM",9.12927641158887e-14,9.129276407306576e-14,3.33697461677611e-07,5.789450811051939e-08,7.65100941120996e-08,6.658646988788597e-08,5.383230238242831e-07,-2.3988578697203833e-06,1.7023727874944176e-06,2.9999997686280144,2.999999428086731,0.9999998864862301,9.41258182507454e-12,1.0722399276241745e-06,0.7798303399128328
arm_2,7,"linear + LayerNorm, no memory - KEY ARM",1.6118850819847283e-14,1.6118850804968934e-14,1.3677401136658172e-07,2.1868179313303913e-08,3.091944715076048e-08,2.6197355084134344e-08,1.7402234142593898e-07,-2.8880688686394596e-07,1.8418767093577614e-07,2.999999895266206,3.000000408091259,1.0000001709416904,1.0152989560197057e-12,9.871758321899904e-08,0.8662580043679012
arm_3,0,"linear + GELU + GLU, no LN, no memory",1.1995874137416234e-06,1.1995874137412924e-06,0.0011870633533147615,0.009119126357967517,0.10608294275239001,0.012967754943449985,0.2757948522123356,0.18077893148913698,0.17512080186578108,3.041983756367862,3.1134950981940848,1.0235081274436546,1.7292988352402006e-07,0.0171972837934653,
arm_3,1,"linear + GELU + GLU, no LN, no memory",7.083825667122521e-05,7.083825667122713e-05,0.013025250083938067,0.01940885305070974,0.2593173027314881,0.050243948988053094,1.636066577661365,-1.1679258366357033,0.5437855933276537,1.7847586219375138,3.5898524096533073,2.011393790470223,3.4352533312409506e-06,0.3378697322204862,
arm_3,2,"linear + GELU + GLU, no LN, no memory",4.2936939332018835e-06,4.293693933198814e-06,0.0022919857751139638,0.03936794480490046,0.6619320347624125,0.06640948441708008,1.6288526336546139,1.3737325100716005,2.3974469125416196,2.9155817240171724,5.043687011010527,1.7299076096763255,5.048974318966337e-06,0.4995738399263837,
arm_3,3,"linear + GELU + GLU, no LN, no memory",9.77677757241057e-06,9.776777572406902e-06,0.0034047967397694947,0.035411657572368076,0.4386226357304824,0.0461253589629899,0.6042830748384065,-0.10909967305537191,0.10930942521364123,2.474527460995005,2.8297381124317305,1.143546861789077,3.8934356638709033e-07,0.03784374856902406,
arm_3,4,"linear + GELU + GLU, no LN, no memory",7.908767664323226e-05,7.908767664322787e-05,0.011884196632596688,0.01499529789268355,0.2812821856973729,0.026259257948557987,0.6438043612491569,-0.18067013022434175,0.4791091663190207,2.4371129813548307,3.14213504699942,1.2892857536923283,8.792053728390314e-07,0.08575566845937033,
arm_3,5,"linear + GELU + GLU, no LN, no memory",2.849986201678236e-05,2.8499862016783837e-05,0.005808261178626221,0.023147178661848747,0.36535490240594565,0.034003494900201714,0.8472986547824886,0.10131734267708525,1.2842635234430841,2.3281494918233383,3.450789119004306,1.482202552337715,3.8193260413210695e-06,0.22439649063135436,
arm_3,6,"linear + GELU + GLU, no LN, no memory",6.410791962856438e-06,6.410791962857903e-06,0.002484106506780242,0.009888405801054928,0.11041083930571298,0.0194514305859278,0.6120559703529418,-0.16258528381535442,0.4990642266402962,2.6099782899583213,3.4645067014982334,1.327408245052321,1.1601061777888333e-07,0.011340305604543133,
arm_3,7,"linear + GELU + GLU, no LN, no memory",4.461900799986722e-05,4.4619007999857464e-05,0.007373005681456968,0.024370333289796476,0.47699095373859723,0.036282036721398625,0.5183203305289944,0.2909315533957763,0.893197617376388,2.2512945711815298,2.938873564301837,1.3054149385521994,8.48281980769805e-07,0.08407510464893919,
