c,Jx,Ju,seed
2.3598334667821938e-05,1.8909785711294702,-1.8121725004413076,5
3.35292414924956e-05,1.8908876557124317,-1.8121329464015943,5
4.7639380104013405e-05,1.8907584808698072,-1.812076742473419,5
6.768750009458542e-05,1.890574946452611,-1.8119968774610815,5
9.617248711152965e-05,1.8903141774825636,-1.811883385151284,5
0.00013664483492953258,1.8899436737194382,-1.8117220961793752,5
0.00019414919457438816,1.8894172603204145,-1.8114928599914433,5
0.00027585316176291844,1.8886693357189783,-1.8111670091754424,5
0.0003919406774847221,1.887606701503708,-1.810703737805614,5
0.0005568813990945272,1.8860969595379289,-1.8100449176233693,5
0.0007912342618981327,1.8839520375502796,-1.8091076561429322,5
0.0011242100350620874,1.880904805380473,-1.8077735691838366,5
0.0015973122800602556,1.8765759003759643,-1.8058732306946221,5
0.0022695105366946707,1.8704266984248417,-1.8031634626523283,5
0.003224590545296398,1.8616927262535694,-1.7992938427910765,5
0.004581597669054491,1.8492895708809312,-1.7937566976115118,5
0.00650967523045817,1.8316803841229354,-1.7858113183888247,5
0.009249147277217335,1.8066904418855492,-1.7743671752644274,5
0.01314147362611758,1.771250505562603,-1.7578008862146945,5
0.018671810912919206,1.7210492881837258,-1.7336654172266723,5
0.026529484644319,1.6500834567343692,-1.6982258876225365,5
0.037693909753883634,1.5501322070871921,-1.645729364147179,5
0.053556669177069076,1.4103088184655161,-1.5673184810627627,5
0.07609496685459884,1.21719342477804,-1.4496535716730283,5
0.10811807510766078,0.9569205174907514,-1.2739817559485216,5
0.15361749466718297,0.6223097208115179,-1.0183829335678565,5
0.21826447283974873,0.22967301447880362,-0.6697423940704335,5
0.31011689265747816,-0.15625401903384642,-0.252400418151233,5
0.44062364277735727,-0.4213324455665239,0.14407498844727165,5
0.6260516572014828,-0.48547369424896253,0.40641292702120146,5
0.8895134973108236,-0.4119809606480557,0.5144354388541844,5
1.2638482029342997,-0.3245789283757944,0.5469462283729193,5
1.795714494371641,-0.24116496990971842,0.551023412543836,5
2.5514065200312928,-0.1595692512953473,0.5271796824617011,5
3.6251170499885355,-0.11948804503732074,0.5156575500493273,5
5.150678076168132,-0.09485643955323343,0.48984938310075626,5
7.318242219076182,-0.06200588063576561,0.38217535079661835,5
10.397984184814922,-0.028998980012239856,0.23850823336844734,5
14.773776525985127,-0.011099473207369316,0.14413442920070638,5
20.991037201085547,-0.004608190493375799,0.09438479143344851,5
29.82471286216894,-0.002238323614751775,0.06468585065099426,5
42.37587160604063,-0.0011281446550469709,0.04540730301517174,5
60.20894493336138,-0.0005354504082960955,0.0324195170509392,5
85.54672535565685,-0.00025234744181591045,0.023062569424938034,5
121.54742500762885,-0.0001244564723519026,0.016252274840159793,5
172.69832906594397,-6.148045822533382e-05,0.011436209403254764,5
245.37511066398167,-3.0420278072734784e-05,0.00804874781955505,5
348.63652276780874,-1.5078461954533796e-05,0.0056652825076921555,5
495.353520895918,-7.472846313986143e-06,0.003987534170069067,5
703.8135554931577,-3.7029237634695786e-06,0.0028065926763487267,5
1000.0,-1.8348032160328482e-06,0.001975372554083031,5
