x,Jx,Ju,jx_relerr,ju_relerr,seed,arm
2.1147819410557416,1.0336711756147057,0.005782157078012919,0.0035642481696171323,0.42178429219870817,0,arm_5
2.1915576548019864,1.0332241944589426,0.006072289375187264,0.0031302858824685626,0.39277106248127364,0,arm_5
2.2683333685482308,1.0328206148786607,0.006332124298629272,0.002738461047243397,0.3667875701370728,0,arm_5
2.3451090822944756,1.032455014664652,0.006565585531424718,0.002383509383157314,0.3434414468575282,0,arm_5
2.42188479604072,1.032122789765008,0.006775990739237274,0.0020609609369009857,0.32240092607627263,0,arm_5
2.4986605097869647,1.0318200109747266,0.0069661596571766096,0.0017670009463365201,0.30338403428233907,0,arm_5
2.5754362235332096,1.0315433089878239,0.0071385004451342575,0.0014983582406056734,0.2861499554865743,0,arm_5
2.652211937279454,1.031289781592834,0.0072950791480932186,0.0012522151386736727,0.27049208519067813,0,arm_5
2.7289876510256987,1.0310569182812952,0.007437675923063101,0.0010261342536846327,0.2562324076936899,0,arm_5
2.805763364771943,1.0308425386429154,0.00756783082747997,0.0008179986824421276,0.243216917252003,0,arm_5
2.882539078518188,1.03064474174692,0.00768688131874537,0.000625962861087354,0.23131186812546303,0,arm_5
2.9593147922644327,1.0304618643316106,0.007795993130381199,0.000448411972437428,0.22040068696188012,0,arm_5
3.036090506010677,1.0302924460970102,0.007896185824046104,0.00028392824952444605,0.2103814175953896,0,arm_5
3.112866219756922,1.0301352007572153,0.007988354037571954,0.0001312628710828082,0.20116459624280464,0,arm_5
3.1896419335031663,1.029988991787676,0.008073285235012951,1.0687584780715814e-05,0.1926714764987049,0,arm_5
3.266417647249411,1.0298528120186277,0.008151674599242938,0.0001429009527887042,0.18483254007570626,0,arm_5
3.343193360995656,1.0297257663943746,0.008224137578994754,0.0002662462190537823,0.1775862421005246,0,arm_5
3.4199690747419003,1.0296070573503129,0.008291220501618094,0.0003814977181428589,0.17087794983819057,0,arm_5
0.4257162386383597,7.940531327116078,-2.1774558816707468,6.709253715646677,218.74558816707466,1,arm_5
0.5024919523846043,7.270775763762043,-1.0333051305300376,6.059005595885479,104.33051305300376,1,arm_5
0.579267666130849,5.854167072540305,0.039674676725554164,4.683657351980878,2.9674676725554163,1,arm_5
0.6560433798770936,4.450803631593597,0.750228706305912,3.321168574362715,74.0228706305912,1,arm_5
0.7328190936233383,3.3431337098062524,1.128349286413358,2.245760883307041,111.8349286413358,1,arm_5
0.8095948073695829,2.5475571334143603,1.286175378740118,1.4733564402081167,127.6175378740118,1,arm_5
0.8863705211158275,1.9970087290159995,1.3184113159301576,0.9388434262291256,130.84113159301575,1,arm_5
0.9631462348620722,1.6195966921873626,1.285838041195048,0.5724239729974393,127.5838041195048,1,arm_5
1.0399219486083169,1.3597122080821902,1.2232767518875247,0.3201089398856215,121.32767518875247,1,arm_5
1.1166976623545612,1.1787179390034495,1.149489260660585,0.14438634854703827,113.9489260660585,1,arm_5
1.193473376100806,1.0508286416141372,1.0741151308125496,0.020221982149647787,106.41151308125495,1,arm_5
1.2702490898470506,0.9590395134543316,1.0018219934139687,0.06889367625793053,99.18219934139687,1,arm_5
1.3470248035932952,0.8921164905207316,0.934636164456343,0.13386748493132855,92.4636164456343,1,arm_5
