variant,case,seed,recorded_teacher_mse,recomputed_teacher_mse,mse_sanity_rel_err,skip_alone_rel_err_vs_AB_true,contamination_ratio_median,contamination_ratio_max,mse_branch_zeroed,branch_zeroing_mse_ratio,max_decomposition_residual
M5,2,2,4.834186256630346e-05,4.8352553729367135e-05,0.000221157450212218,1.0063076273457843,0.10609891752039358,0.16283609227817086,0.17923091489733453,3706.751786069116,4.980559976921029e-16
M5,2,3,7.41829398975824e-06,7.4297699951930194e-06,0.0015469871442980346,0.7872609293781905,0.11858077051174025,0.21304205960316275,0.773896967350535,104161.63190128873,2.5438405243138006e-16
M5,2,4,6.860190751467599e-06,6.81401874734025e-06,0.006730425698071241,1.0872229895749812,0.11034092974090923,0.19147146704862167,1.6041473626714853,235418.68934505648,2.482534153247273e-16
M5,3,0,5.059057002654299e-06,4.997361239323413e-06,0.012195111321836642,0.6242921036792619,0.18873215012517808,0.26506229011147747,2.073000871064177,414819.09587645467,2.2887833992611187e-16
M5,3,1,1.162870944426686e-06,1.1647131322836394e-06,0.0015841722297581238,0.5696024716295285,0.05700702462687511,0.08495717902573133,1.0860929886097035,932498.2766187359,1.3597399555105182e-16
M5,3,2,1.833229725889396e-05,1.8380651120444495e-05,0.002637632418221698,0.890005971015644,0.10532278889847596,0.1761171740583282,1.0374382914077207,56441.86838701243,1.8631931528314482e-16
M5,3,3,1.4045550642549642e-06,1.4089151183202157e-06,0.003104224374118227,0.7962255064444376,0.12057961404615594,0.18399015050561213,4.159147611716232,2952021.422465103,2.6622212897024595e-16
M5,3,4,1.4215502233128063e-06,1.4383592451339652e-06,0.011824430502347496,0.7516587972837424,0.100556273181399,0.1404667809678768,2.413647124612701,1678055.8353402873,1.2719202621569003e-16
M5,4,0,3.904186542058596e-06,3.917180635698767e-06,0.003328246102021355,0.9275684916163711,0.07333899901489388,0.18425153024044547,0.942510075275072,240609.29605482495,3.1401849173675503e-16
M5,4,1,7.045122765703127e-05,7.047195023067619e-05,0.00029414070320824557,0.9929911307336358,0.10425280037337198,0.22673719755055224,5.765507526755498,81812.79938873883,5.117875266520903e-16
M5,4,2,3.722110704984516e-05,3.725756837325903e-05,0.0009795872907552216,1.018392876690053,0.07907821999211828,0.1772031919633127,0.8357031897227029,22430.42759394127,2.7755575615628914e-16
M5,4,3,5.044178578827996e-06,5.0702052066830065e-06,0.005159735613693901,1.007680275242579,0.16756708946534282,0.47081762380318243,3.8366167632098445,756698.5174787055,4.974756253865709e-16
M5,4,4,4.60310138805653e-06,4.597643862193919e-06,0.0011856193037093029,0.908419159085035,0.22894049170544395,0.4633753255598941,11.211699636828028,2438575.0555890147,3.189627710442956e-16
M5,5,0,6.137806485639885e-05,6.14249312787104e-05,0.0007635695654660429,1.044038261855747,0.09049542992180125,0.17432896370338138,0.8759917879811198,14261.17652466523,1.3668035872266426e-16
M5,5,1,4.150415861658985e-06,4.15847794131278e-06,0.0019424751452671812,0.9273832114382863,0.17111477425047678,0.29941702603776377,1.432872545110133,344566.58549877815,2.5438405243138006e-16
M5,5,2,1.044575924424862e-06,1.0449882247384628e-06,0.0003947059318141927,0.8767100253932276,0.0757728377087054,0.11502342533568839,0.5146083218847468,492453.7039769436,2.482534153247273e-16
M5,5,3,5.340912139217835e-06,5.342022278107226e-06,0.0002078556734232218,1.0677219546313166,0.14142554448064926,0.2596472247072443,1.6302022540344072,305165.75356028223,5.4672143489065705e-16
M5,5,4,3.431456207181327e-05,3.4283451267612894e-05,0.0009066356182913707,0.9273637269251389,0.17137406541815497,0.372216087132028,0.3635102662578645,10603.082619084726,5.438959822042073e-16
M5,7,0,6.341991684166715e-05,6.343534526555697e-05,0.0002432741110074321,0.8402429333524445,0.15963086984444075,0.27478844404137137,0.4797155060652836,7562.274691767955,4.458205583648681e-16
M5,7,1,1.6172149116755463e-05,1.617373059478349e-05,9.779022049625537e-05,0.6819578811332605,0.19303682282831505,0.25928807609332366,0.2585832532650399,15987.854610886168,1.1210126175528405e-16
M5,7,2,5.529403097170871e-06,5.547144817628652e-06,0.0032086140485685787,0.9026365904448547,0.12225296408112382,0.19709155723429464,1.2918523123061143,232885.9899602131,3.3306690738754696e-16
M5,7,3,8.236468602262903e-06,8.16602729255997e-06,0.008552367902377381,0.8084586738187225,0.12259754229562288,0.19461711291875822,0.96874508750034,118631.13516445862,2.2887833992611187e-16
M5,7,4,6.491765361715807e-06,6.4942694070544e-06,0.0003857264086223359,0.8651024927870353,0.133245012601293,0.19905312834714867,0.43103170234931226,66371.08431028502,3.3306690738754696e-16
M6,1,0,5.863346927981183e-07,5.846065815609728e-07,0.002947311933562405,0.7297559127657747,0.1176894971224256,0.31603441848581754,0.8204565678303121,1403433.6829386873,2.779024842816778e-16
M6,1,1,7.975392577463936e-07,7.99859459275864e-07,0.0029092004022806513,0.5591430874723995,0.09763507082254697,0.20528917370895863,0.05985262342528407,74828.92492072344,2.3055512673781017e-16
M6,1,2,2.367529532421031e-06,2.3583648855413914e-06,0.003870974682317,0.6559186204610388,0.05262992209711273,0.08672327536438894,0.16463869168578174,69810.52537507864,1.7109685898544713e-16
M6,1,3,4.3191224108340975e-07,4.367803165792764e-07,0.011270982928512441,0.7385415417707,0.1441185631048099,0.2918915946573993,0.4589206561105797,1050689.8747285577,2.3551386880256624e-16
M6,1,4,1.1032595466531347e-05,1.0787811365017805e-05,0.022187354032523258,0.48653696920694983,0.042106984273545145,0.08373065821296996,0.21586486375124822,20010.070295745474,1.8631931528314482e-16
M6,2,0,9.423653682461008e-05,9.496407984856219e-05,0.007720392201022684,1.2604904438767814,0.08918349692552356,0.1984710633668063,4.367285410323689,45988.81405777989,2.618455766672135e-16
M6,2,1,1.8883420125348493e-05,1.8910669460550045e-05,0.0014430296535622342,0.9962062386580888,0.07931466901464287,0.22704074734142105,0.9916448442554681,52438.37857375487,2.498001805406602e-16
M6,2,2,1.7622624000068754e-06,1.761412585394136e-06,0.0004822293279003183,1.0227259004992768,0.09722807353020851,0.1595959465336631,0.3264111519227682,185312.14925419076,2.6622212897024595e-16
M6,2,3,2.840874685716699e-06,2.8183931321037485e-06,0.00791360271045491,0.8087529868053995,0.06135955549732258,0.16880790530548442,0.396650703011215,140736.47089650013,2.403703357979455e-16
M6,2,4,2.5999559056799626e-06,2.5994900906356225e-06,0.0001791626709216245,1.1345858596638243,0.09025785871779925,0.15132024223951376,1.070168956488888,411684.183888238,6.497413668604471e-16
M6,3,0,6.961652161407983e-06,6.904530485698449e-06,0.008205189570686784,0.5654870123417463,0.1415809735453493,0.23089568206861436,2.845924670037384,412182.2151313879,3.3306690738754696e-16
M6,3,1,4.0165170389627747e-07,3.9953762812862864e-07,0.005263455245280794,0.6418709309758589,0.10298977252214833,0.18755257206316886,1.7022130373148616,4260457.382419172,2.7194799110210365e-16
M6,3,2,1.918132693390362e-05,1.9151120852531585e-05,0.0015747649511486134,0.9400370799731411,0.1330016662052679,0.20649312991676907,1.685490924758571,88010.04065178598,2.2940365239111e-16
M6,3,3,2.494705950084608e-05,2.5067611065919537e-05,0.004832295568516505,0.7622820519004456,0.19056108057675628,0.34228605437976584,3.7178229332541477,148311.81653000365,4.654751537338637e-16
M6,3,4,7.111492323019775e-06,6.906410762542238e-06,0.028838048494222716,0.7762802055117431,0.10976198757104666,0.19939229584373463,1.7735547246414474,256798.326311626,2.387624894196368e-16
M6,4,0,8.699612226337194e-05,8.68340974354835e-05,0.0018624373555172055,0.9182514697098171,0.10729476147459081,0.3320186086422431,2.6079592688005646,30033.815584232234,8.881784197001252e-16
M6,4,1,3.92678566640825e-06,3.967419439517446e-06,0.010347845938421855,1.0882706092756125,0.10994844172165638,0.28529543215640835,3.2501708523452635,819215.3367934749,6.753223014464259e-16
M6,4,2,2.3633037926629186e-05,2.3701520757889087e-05,0.002897758276888155,1.058914302127946,0.06540417827376216,0.17086424222584357,1.4818775088691665,62522.465288474,9.42055475210265e-16
M6,4,3,3.614432671383838e-06,3.611796552135952e-06,0.0007293314020640106,1.0444494826007886,0.1903483828084479,0.4108528968711656,2.3733296322495514,657105.0162961163,4.996003610813204e-16
M6,4,4,4.726164661406074e-06,4.744033794486151e-06,0.003780895157123334,0.983528013230421,0.18332137791419478,0.4540705846240509,8.325212212061016,1754880.4609564885,4.619448428525918e-16
M6,5,0,1.3278733604238369e-05,1.3253003732079866e-05,0.0019376751522667563,1.047995509990107,0.08811155648547636,0.19236006632275304,0.6236520454692175,47057.41114066255,3.152427400121712e-16
M6,5,1,6.402844974218169e-06,6.386015907959178e-06,0.0026283732195227856,0.9872447391853393,0.07579885033064732,0.1738194416862134,0.5232587158035723,81938.21051266276,2.387624894196368e-16
M6,5,2,8.70665826369077e-06,8.705547618307086e-06,0.0001275627628932987,0.8664152639278789,0.08902024502241554,0.15368450212424783,0.8172505743351612,93876.98628131644,1.249000902703301e-16
M6,5,3,1.8757993984763743e-06,1.8776952895916671e-06,0.0010107110157049472,1.1000943270127042,0.08960651805975832,0.2624479415038589,2.313672255243555,1232187.281966659,5.026748538604307e-16
M6,5,4,1.278384502256813e-06,1.2841996914763772e-06,0.004548857725745507,0.9667013806527698,0.06441767278888513,0.28928845298747835,0.6127681119132836,477159.52275990363,2.5438405243138006e-16
M6,7,0,5.151150617166422e-07,5.140994669198561e-07,0.0019715882377843723,0.7867618921949507,0.07032125810476207,0.12011251858344335,0.26763741457688944,520594.6160193391,1.3597399555105182e-16
M6,7,1,9.88710507954238e-06,9.869813060083244e-06,0.0017489466653808465,0.5707800915535012,0.11322035130438901,0.18485448058338527,0.23168970580650905,23474.57894046019,1.6653345369377348e-16
M6,7,2,8.813897238724167e-07,8.794419177592621e-07,0.0022099260524581165,0.814312245960674,0.10430033968941879,0.1831563356902889,0.8203428736694995,932799.3777686404,2.237726045655905e-16
M6,7,3,3.77511867100111e-07,3.7698987189483223e-07,0.0013827252883160833,0.9007557428699855,0.14728249281377417,0.24261257634310274,1.050196576571259,2785742.150824225,2.2887833992611187e-16
M6,7,4,2.0423149180714972e-06,2.0687096079678855e-06,0.01292390789629645,0.7771799404500878,0.09636325400948423,0.18168884739154534,0.5798742976935195,280307.2482769275,3.003026301015899e-16
