case,cost_ratio,finite,hankel_eff_rank,hankel_sigma6_over_sigma1,internal_dim,ks_over_kx,median_frac_s_unstable,n_unstable_099,n_unstable_10,seed,success,teacher_mse,variant
5,1.0050000000000365,True,6,0.020757048585483925,1024,8.665256088028642e-14,0.9999966126341658,57,6,0,True,nan,M0_S4
5,1.0049999999999957,True,6,0.020757048585483925,1024,1.0729958969662473e-13,0.9999951927986077,63,6,1,True,nan,M0_S4
5,1.004999999999891,True,6,0.020757048585483925,1024,5.3111189094204666e-14,0.9999947186118512,46,6,2,True,nan,M0_S4
5,1.0050000000000585,True,6,0.020757048585483925,1024,9.085688394785031e-14,0.9999979716395935,47,6,3,True,nan,M0_S4
5,1.0050000000000232,True,6,0.020757048585483925,1024,1.1229423075252974e-13,0.9999953210571074,66,6,4,True,nan,M0_S4
7,1.0050000000000008,True,6,0.010912112390462763,1024,3.081490737352317e-13,0.9999984272121936,59,3,0,True,nan,M0_S4
7,1.0049999999998742,True,6,0.010912112390462763,1024,1.7769676854547633e-13,0.9999881553635869,42,3,1,True,nan,M0_S4
7,1.0049999999999957,True,6,0.010912112390462763,1024,1.9530336853869204e-13,0.9999939426276809,38,3,2,True,nan,M0_S4
7,1.0049999999999943,True,6,0.010912112390462763,1024,1.9165979085563536e-13,0.9999937787668947,38,3,3,True,nan,M0_S4
7,1.0049999999999946,True,6,0.010912112390462763,1024,2.8785405674598646e-13,0.9999944342370591,42,3,4,True,nan,M0_S4
1,1.005,True,nan,nan,0,nan,nan,nan,nan,0,True,nan,M1
1,1.005,True,nan,nan,0,nan,nan,nan,nan,1,True,nan,M1
1,1.005,True,nan,nan,0,nan,nan,nan,nan,2,True,nan,M1
1,1.005,True,nan,nan,0,nan,nan,nan,nan,3,True,nan,M1
1,1.005,True,nan,nan,0,nan,nan,nan,nan,4,True,nan,M1
2,1.0049999999998596,True,nan,nan,0,nan,nan,nan,nan,0,True,nan,M1
2,1.0049999999998596,True,nan,nan,0,nan,nan,nan,nan,1,True,nan,M1
2,1.0049999999998596,True,nan,nan,0,nan,nan,nan,nan,2,True,nan,M1
2,1.0049999999998596,True,nan,nan,0,nan,nan,nan,nan,3,True,nan,M1
2,1.0049999999998596,True,nan,nan,0,nan,nan,nan,nan,4,True,nan,M1
3,1.0050000000000006,True,nan,nan,0,nan,nan,nan,nan,0,True,nan,M1
3,1.0050000000000006,True,nan,nan,0,nan,nan,nan,nan,1,True,nan,M1
3,1.0050000000000006,True,nan,nan,0,nan,nan,nan,nan,2,True,nan,M1
3,1.0050000000000006,True,nan,nan,0,nan,nan,nan,nan,3,True,nan,M1
3,1.0050000000000006,True,nan,nan,0,nan,nan,nan,nan,4,True,nan,M1
4,1.0050000000000006,True,nan,nan,0,nan,nan,nan,nan,0,True,nan,M1
4,1.0050000000000006,True,nan,nan,0,nan,nan,nan,nan,1,True,nan,M1
4,1.0050000000000006,True,nan,nan,0,nan,nan,nan,nan,2,True,nan,M1
4,1.0050000000000006,True,nan,nan,0,nan,nan,nan,nan,3,True,nan,M1
4,1.0050000000000006,True,nan,nan,0,nan,nan,nan,nan,4,True,nan,M1
5,1.0049999999999764,True,nan,nan,0,nan,nan,nan,nan,0,True,nan,M1
5,1.0049999999999764,True,nan,nan,0,nan,nan,nan,nan,1,True,nan,M1
5,1.0049999999999764,True,nan,nan,0,nan,nan,nan,nan,2,True,nan,M1
5,1.0049999999999764,True,nan,nan,0,nan,nan,nan,nan,3,True,nan,M1
5,1.0049999999999764,True,nan,nan,0,nan,nan,nan,nan,4,True,nan,M1
7,1.0050000000000043,True,nan,nan,0,nan,nan,nan,nan,0,True,nan,M1
7,1.0050000000000043,True,nan,nan,0,nan,nan,nan,nan,1,True,nan,M1
7,1.0050000000000043,True,nan,nan,0,nan,nan,nan,nan,2,True,nan,M1
7,1.0050000000000043,True,nan,nan,0,nan,nan,nan,nan,3,True,nan,M1
7,1.0050000000000043,True,nan,nan,0,nan,nan,nan,nan,4,True,nan,M1
1,34.935164181888624,True,60,0.16248213687129853,1024,154.1332191668124,0.7117708757524953,336,4,0,True,1.289810382202987e-06,stability_penalized_M3
1,15.009751467260452,True,60,0.1364806787617924,1024,17.268511495980917,0.6100891358125596,256,1,1,True,5.203334241224692e-06,stability_penalized_M3
1,10.294265238453217,True,60,0.2034605031972276,1024,3.8903663851544272,nan,249,0,2,True,1.1187257669652877e-06,stability_penalized_M3
1,6.5160173451302335,True,56,0.14406742190882194,1024,242.95938437874437,0.45223026237294717,610,3,3,True,4.432604203537472e-06,stability_penalized_M3
1,18.306000631046007,True,60,0.11441311356078124,1024,195.2024578145684,0.5883119857221561,377,2,4,True,1.8349328881606359e-06,stability_penalized_M3
2,77310.02617324938,True,60,0.08574323892479709,1024,289.705391005068,0.26709590005098915,387,1,0,False,7.319479619071236e-05,stability_penalized_M3
2,30363.421290349663,True,60,0.13949200345176782,1024,50.00377036033429,0.47738456812288116,232,2,1,False,0.0002127606904493005,stability_penalized_M3
2,46375.43627937349,True,60,0.1691303041122181,1024,202.51223401432674,0.551809560703061,317,3,2,False,8.293094590963414e-06,stability_penalized_M3
2,182383.65241012615,True,60,0.20036459207032625,1024,195.70491445376027,0.3388443043978434,378,2,3,False,9.04058962452272e-06,stability_penalized_M3
2,5709.393268194707,True,60,0.0815097700645119,1024,211.8140922839327,0.48969266210111095,344,3,4,False,7.214641150187444e-05,stability_penalized_M3
3,310.95523209732914,True,60,0.2065274270302755,1024,210.33053863619926,0.7708540721752603,304,15,0,False,1.5223776234260867e-05,stability_penalized_M3
3,1145.4702819613597,True,60,0.1411510574366659,1024,231.89484597198853,0.6378255475377634,410,13,1,False,3.638280553899517e-06,stability_penalized_M3
3,263.38888690058053,True,60,0.216098117072164,1024,46.806538550638756,0.5013303958605414,306,1,2,False,5.093712282914781e-05,stability_penalized_M3
3,638.5262015643796,True,60,0.14071537046230365,1024,121.1453598129953,0.6029564037456641,370,7,3,False,1.3253875267955575e-05,stability_penalized_M3
3,830.6615635279857,True,60,0.2850733513802762,1024,532.6697494487989,0.7337266800249684,384,7,4,False,6.976164715717944e-06,stability_penalized_M3
4,202130.25755869702,True,60,0.10503615342232124,1024,189.0101525728216,0.48016674264384807,341,12,0,False,1.797573936130368e-05,stability_penalized_M3
4,52141.53732052458,True,60,0.09543398020368728,1024,81.15629985906256,0.42065799902993284,185,2,1,False,0.00028843046017107594,stability_penalized_M3
4,1205163.2083960166,True,60,0.10053953896316804,1024,112.89809294885418,0.6452464537197087,199,3,2,False,1.0079372498226123e-05,stability_penalized_M3
4,112241.09827670058,True,60,0.08244980099263884,1024,215.34098152331325,0.3772701253367956,309,5,3,False,3.808321417914399e-05,stability_penalized_M3
4,45554.54900303471,True,60,0.13255816985992935,1024,214.61951903100226,0.6298647123734875,250,7,4,False,1.4020040338613571e-05,stability_penalized_M3
5,833464.1644874851,True,60,0.16638814543751534,1024,968.9207197746363,0.589243326705241,245,6,0,False,1.8868928416210345e-05,stability_penalized_M3
5,945074.625274846,True,60,0.11074463090283153,1024,619.4380225462228,0.30041764210629296,349,2,1,False,5.264497049692771e-05,stability_penalized_M3
5,55319.24065131133,True,60,0.08884876901309878,1024,319.81798890692147,0.49490841158687415,349,4,2,False,4.4104710762223335e-06,stability_penalized_M3
5,993127.4322953112,True,60,0.16766561947766698,1024,707.53487126099,0.48566718921972046,197,5,3,False,3.573378940960881e-05,stability_penalized_M3
5,31010.968863794522,True,60,0.07147396038318164,1024,3.5566444777423287,0.526333066100463,303,2,4,False,1.1391665937704826e-05,stability_penalized_M3
7,493.1854273245139,True,60,0.18561093475269694,1024,794.9888171109113,0.5886286779231875,271,2,0,False,3.240739030680251e-05,stability_penalized_M3
7,2136.6897012895047,True,60,0.1544757971212249,1024,64.47475283318224,0.7120613060337108,203,3,1,False,0.00010914786621097115,stability_penalized_M3
7,1397.222303178239,True,60,0.16528329901204178,1024,39.12756298652936,nan,254,0,2,False,3.2838750370039094e-05,stability_penalized_M3
7,710.938552287123,True,60,0.14565655950280135,1024,20.448685861889615,0.6297649967999671,245,1,3,False,1.089241240263385e-05,stability_penalized_M3
7,2917.05982895785,True,60,0.14286412263540327,1024,99.85537282405456,0.734144159382975,238,2,4,False,2.323681420775927e-06,stability_penalized_M3
1,2.0889335179186554,True,60,0.022211631806668842,64,0.5856912328091178,0.9710269171103202,3,1,0,True,5.6433043153000406e-05,generic_linear_SSM
1,6.531302274559453e+68,True,1,4.106577138720222e-15,64,0.2932780769784663,0.9639572282199946,5,4,1,False,0.00010663237780902071,generic_linear_SSM
1,1.4271031462932848,True,60,0.04987617121252251,64,0.5485589472803101,0.9714758907360995,3,3,2,True,1.542762239864865e-05,generic_linear_SSM
1,6.268619025343541,True,60,0.07514293589621737,64,0.9313088266764857,0.9548098053668079,5,5,3,True,5.500854957341657e-05,generic_linear_SSM
1,5.409100594435147e+136,True,1,8.580689356469052e-18,64,0.06658826389604,0.9747319024758213,12,10,4,False,0.02378210388086933,generic_linear_SSM
2,1.2347571255059338e+58,True,5,1.3627453914374412e-09,64,0.6261450909959222,0.982327132465484,6,6,0,False,3.42639877747419e-05,generic_linear_SSM
2,3.053974585459364e+22,True,3,1.7850217432697547e-15,64,0.2810400879161304,0.991989264897506,7,7,1,False,0.00016464512408825212,generic_linear_SSM
2,3.2448471261821253e+67,True,1,5.143223989350297e-18,64,0.10220434409436786,0.9621230004541838,13,13,2,False,0.09062156076001694,generic_linear_SSM
2,27.894334416030393,True,60,0.005676157069315807,64,0.9783366705113355,0.9665177530621715,7,7,3,True,4.660206257571272e-05,generic_linear_SSM
2,12.035737938858537,True,60,0.03032842338004726,64,0.9378361769685299,0.9621472759260676,6,6,4,True,5.091230987435031e-05,generic_linear_SSM
3,1.3602351949284788e+147,True,20,5.427042689563486e-07,64,0.4627779428632135,0.9476464265680113,10,10,0,False,0.0005733772866070157,generic_linear_SSM
3,2.0548261156083773e+21,True,58,1.9328560165574e-05,64,0.7499384628733785,0.9507414396487325,11,11,1,False,2.882132659262076e-05,generic_linear_SSM
3,3048.0617133602063,True,1,5.295889919064638e-15,64,0.3000166108455624,0.9682239800696186,7,7,2,False,1.3376508589093392e-05,generic_linear_SSM
3,6.363433473919899e+24,True,60,6.429875179004263e-05,64,0.7474608333834097,0.9446912078408585,9,7,3,False,9.695019335592632e-05,generic_linear_SSM
3,1.5812764020436125,True,60,0.09511907405273702,64,0.5368417261799189,0.985310870744958,4,4,4,True,2.622293240148532e-05,generic_linear_SSM
4,4889.829059101926,True,60,0.023075708326644944,64,0.48609496220224624,0.9068019210186423,3,3,0,False,7.801489931557858e-06,generic_linear_SSM
4,800.8261239708453,True,60,0.050457485997581285,64,1.5768162084231592,0.8299038281092245,6,5,1,False,1.7155626312437623e-05,generic_linear_SSM
4,11086.177811814843,True,60,0.0011212703060975047,64,1.136558529186071,0.9446257521249033,6,6,2,False,0.00033009459773404354,generic_linear_SSM
4,16384.716508065205,True,60,0.059518575978172485,64,1.37013705436824,0.9649416611956986,6,5,3,False,4.281670444142077e-05,generic_linear_SSM
4,340003.92913722474,True,60,0.03126921372262032,64,1.362498181181472,0.835591457604173,6,6,4,False,2.261197954031205e-06,generic_linear_SSM
