case,cost_ratio_to_oracle,finite,seed,teacher_mse,variant
1,2341.98627452457,True,2,2.3248718677662337e-06,truncM3
1,1597.076752872308,True,3,2.7502641593041317e-06,truncM3
1,3688.4180139334094,True,4,1.044558940217064e-05,truncM3
2,125592.01542799389,True,0,6.158046219675461e-05,truncM3
2,550022.3679619222,True,1,1.5146435820535216e-05,truncM3
2,58228.8971557001,True,2,6.30963056616383e-05,truncM3
2,266738.86555180146,True,3,8.853882527948554e-05,truncM3
2,148008.68828112434,True,4,6.199397781442335e-06,truncM3
3,3093.793065232969,True,0,7.498291945640385e-06,truncM3
3,3711.5858943601484,True,1,3.2354165108069674e-06,truncM3
3,6492.512133834869,True,2,8.743497524162367e-06,truncM3
3,1275.19977616188,True,3,8.116954362782625e-06,truncM3
3,2551.9779618750463,True,4,8.742279686447987e-07,truncM3
4,1555758.00087919,True,0,8.48063986758616e-06,truncM3
4,2143218.360176166,True,1,0.00024466238867663963,truncM3
4,93093.80910807262,True,2,6.56387341964084e-06,truncM3
4,77507.31473880277,True,3,0.00014007459522533827,truncM3
4,2371053.948413184,True,4,1.4399212361247138e-05,truncM3
5,12840839.676600534,True,0,2.3933150837624324e-06,truncM3
5,5903773.825286011,True,1,0.0004218588114057352,truncM3
5,28236778.063163903,True,2,2.5093283646426095e-05,truncM3
5,3187128.22040077,True,3,4.502914489343399e-06,truncM3
5,4546985.942726134,True,4,3.3718947920249756e-06,truncM3
7,10669.955708817519,True,0,1.8187420700467287e-06,truncM3
7,70177.26942811137,True,1,1.5519444989427692e-06,truncM3
7,390.2582029062228,True,2,1.0613815526045985e-06,truncM3
7,20958.553786549626,True,3,7.91858374917963e-07,truncM3
7,22274.299059573594,True,4,2.7303659695831244e-06,truncM3
1,429.7681007829356,True,0,1.9232638509127502e-06,fullM3
1,490.1184114253981,True,1,4.014777726083144e-05,fullM3
1,80.91716190362143,True,2,2.3248718677662337e-06,fullM3
1,10.177808769965099,True,3,2.7502641593041317e-06,fullM3
1,76.5331819347328,True,4,1.044558940217064e-05,fullM3
2,134944.78240489107,True,0,6.158046219675461e-05,fullM3
2,55429.81483085616,True,1,1.5146435820535216e-05,fullM3
2,13337.38825904815,True,2,6.30963056616383e-05,fullM3
2,50988.925893874984,True,3,8.853882527948554e-05,fullM3
2,28013.58976993953,True,4,6.199397781442335e-06,fullM3
3,367.718223852354,True,0,7.498291945640385e-06,fullM3
3,2019.4665049213434,True,1,3.2354165108069674e-06,fullM3
3,277.29232708141586,True,2,8.743497524162367e-06,fullM3
3,35.071782995989,True,3,8.116954362782625e-06,fullM3
3,329.89854702631567,True,4,8.742279686447987e-07,fullM3
4,472389.19708625355,True,0,8.48063986758616e-06,fullM3
4,94645.60408034902,True,1,0.00024466238867663963,fullM3
4,112963.61768948998,True,2,6.56387341964084e-06,fullM3
4,228006.95778083784,True,3,0.00014007459522533827,fullM3
4,29775.686475959905,True,4,1.4399212361247138e-05,fullM3
5,1190228.2784028882,True,0,2.3933150837624324e-06,fullM3
5,237190.4844241108,True,1,0.0004218588114057352,fullM3
5,189477.04757863082,True,2,2.5093283646426095e-05,fullM3
5,62538.302877825576,True,3,4.502914489343399e-06,fullM3
5,290464.7081859111,True,4,3.3718947920249756e-06,fullM3
7,578.4141304818432,True,0,1.8187420700467287e-06,fullM3
7,68.4426452833647,True,1,1.5519444989427692e-06,fullM3
7,1477.3429353813913,True,2,1.0613815526045985e-06,fullM3
7,2122.164151730255,True,3,7.91858374917963e-07,fullM3
7,249.92194327843947,True,4,2.7303659695831244e-06,fullM3
