b,case,cost_ratio,finite,rho,seed,variant
0.0,5,19472.26053524322,True,1.035562523219885,4,fullM3
0.0001638107971039742,5,1.0050000000000232,True,0.9986537429746287,4,M0_S4
0.10490140315160226,7,1.0050000000000043,True,0.988903618936451,0,M1
0.0,7,268.5374996142177,True,1.0158865283270928,0,fullM3
0.0007776585591062097,7,1.0050000000000008,True,0.9986568320269751,0,M0_S4
0.10490140315160226,7,1.0050000000000043,True,0.988903618936451,1,M1
0.0,7,2502.320059295815,True,1.0200857731077175,1,fullM3
0.0007776582401783473,7,1.0049999999998742,True,0.998562037956332,1,M0_S4
0.10490140315160226,7,1.0050000000000043,True,0.988903618936451,2,M1
0.0,7,2628.7544874366886,True,1.0239930083167406,2,fullM3
0.0007776584647809926,7,1.0049999999999957,True,0.998482225128699,2,M0_S4
0.10490140315160226,7,1.0050000000000043,True,0.988903618936451,3,M1
0.0,7,154714.18881589154,True,1.0289330213090744,3,fullM3
0.0007776585382940739,7,1.0049999999999943,True,0.9985144281160094,3,M0_S4
0.10490140315160226,7,1.0050000000000043,True,0.988903618936451,4,M1
0.0,7,313.0062473586438,True,1.017092426542778,4,fullM3
0.0007776580129636807,7,1.0049999999999946,True,0.9987381094611021,4,M0_S4
