achieved_fidelity,b,case,finite,note,r_chosen,ratio_transfer,rho_transfer,seed,target_fidelity,variant
0.05476391965758255,0.0,4,True,,6,60448253457643.125,1.086914444641795,2,0.07736995987467951,fullM3
0.05589325731912862,0.0,4,True,,6,65.7653579539496,1.0107981147115932,3,0.06335922660085995,fullM3
0.15137708570135835,0.0,4,True,,6,2.4877681678166785e+45,1.2823448297556634,4,0.1629146933492838,fullM3
1.2628786905111156e-15,0.048138192293026606,4,True,,6,1.0050000000000012,0.9477829878361289,0,1.0408340855860843e-16,M0_S4
1.2628786905111156e-15,0.048138192293026606,4,True,,6,1.0050000000000012,0.9477829878361289,1,1.0408340855860843e-16,M0_S4
1.2628786905111156e-15,0.048138192293026606,4,True,,6,1.0050000000000012,0.9477829878361289,2,1.0408340855860843e-16,M0_S4
1.2628786905111156e-15,0.048138192293026606,4,True,,6,1.0050000000000012,0.9477829878361289,3,1.0408340855860843e-16,M0_S4
1.2628786905111156e-15,0.048138192293026606,4,True,,6,1.0050000000000012,0.9477829878361289,4,1.0408340855860843e-16,M0_S4
9.314544537265683e-15,0.048138192293026454,4,True,,6,1.0050000000000006,0.9477829878361324,0,9.314544537265683e-15,M1
9.314544537265683e-15,0.048138192293026454,4,True,,6,1.0050000000000006,0.9477829878361324,1,9.314544537265683e-15,M1
9.314544537265683e-15,0.048138192293026454,4,True,,6,1.0050000000000006,0.9477829878361324,2,9.314544537265683e-15,M1
9.314544537265683e-15,0.048138192293026454,4,True,,6,1.0050000000000006,0.9477829878361324,3,9.314544537265683e-15,M1
9.314544537265683e-15,0.048138192293026454,4,True,,6,1.0050000000000006,0.9477829878361324,4,9.314544537265683e-15,M1
0.04718592071260516,0.0,5,True,,6,9.23912407742561e+18,1.1152065004595277,0,0.050528726141144176,fullM3
0.05927023979515587,0.0,5,True,,6,3.735837566761685e+77,1.5404793261419707,1,0.07172804079335639,fullM3
0.03974895064089855,0.0,5,True,,20,3.09608344948519e+24,1.1531004137703826,2,0.04196285793901266,fullM3
0.04005254493296153,0.0,5,True,,6,5203131905893.984,1.073511217949974,3,0.044168106416675526,fullM3
0.03597199356245695,0.0,5,True,,6,8.083697160293431e+129,2.1046255457391734,4,0.0383836886648689,fullM3
3.580902935285124e-15,0.02132648692193725,5,True,,6,1.0050000000000001,0.9880976154265952,0,5.551115123125783e-17,M0_S4
3.580902935285124e-15,0.02132648692193725,5,True,,6,1.0050000000000001,0.9880976154265952,1,5.551115123125783e-17,M0_S4
3.580902935285124e-15,0.02132648692193725,5,True,,6,1.0050000000000001,0.9880976154265952,2,5.551115123125783e-17,M0_S4
3.580902935285124e-15,0.02132648692193725,5,True,,6,1.0050000000000001,0.9880976154265952,3,5.551115123125783e-17,M0_S4
3.580902935285124e-15,0.02132648692193725,5,True,,6,1.0050000000000001,0.9880976154265952,4,5.551115123125783e-17,M0_S4
3.4807226545474634e-15,0.021326486921938528,5,True,,6,1.0049999999999764,0.9880976154265947,0,3.4807226545474634e-15,M1
3.4807226545474634e-15,0.021326486921938528,5,True,,6,1.0049999999999764,0.9880976154265947,1,3.4807226545474634e-15,M1
3.4807226545474634e-15,0.021326486921938528,5,True,,6,1.0049999999999764,0.9880976154265947,2,3.4807226545474634e-15,M1
3.4807226545474634e-15,0.021326486921938528,5,True,,6,1.0049999999999764,0.9880976154265947,3,3.4807226545474634e-15,M1
3.4807226545474634e-15,0.021326486921938528,5,True,,6,1.0049999999999764,0.9880976154265947,4,3.4807226545474634e-15,M1
0.026670189314816812,0.0,7,True,,6,1878568.433298121,1.02775875093592,0,0.030299159627384623,fullM3
0.045456743955162075,0.0017137678215180783,7,True,,6,288.20132071462547,0.996403911209634,1,0.04658112405266754,fullM3
0.021045997539915602,0.00384041099574039,7,True,,6,80.59657271634292,0.9993950601046875,2,0.02461977448336296,fullM3
0.6907606350420024,0.0,7,True,,6,119205440243.78938,1.0534987118097943,3,0.7005691590608941,fullM3
0.022420680873204354,0.0,7,True,,6,18913494171951.965,1.071461691580133,4,0.02673737669811234,fullM3
1.3912482277333993e-15,0.1049014031516008,7,True,,6,1.0049999999999997,0.9889036189364496,0,4.163336342344337e-17,M0_S4
1.3912482277333993e-15,0.1049014031516008,7,True,,6,1.0049999999999997,0.9889036189364496,1,4.163336342344337e-17,M0_S4
1.3912482277333993e-15,0.1049014031516008,7,True,,6,1.0049999999999997,0.9889036189364496,2,4.163336342344337e-17,M0_S4
