abs_lambda,case,frac_x,lambda_im,lambda_re,seed
1.000948995662667,2,0.024857827483212747,-0.03629023857988886,1.00029091293579,2
1.0128347402457825,2,0.4763800554293601,0.0,1.0128347402457825,2
1.0058479337095194,2,0.10559830751323658,0.008776916195122915,1.0058096397876755,2
1.0058479337095194,2,0.10559830751323658,-0.008776916195122915,1.0058096397876755,2
1.0001974558561941,2,0.05160227243883966,0.0029026641050711845,1.0001932439495362,2
1.0001974558561941,2,0.05160227243883966,-0.0029026641050711845,1.0001932439495362,2
1.046897060756676,2,0.855159156469684,0.0,1.046897060756676,3
1.0258823090125413,2,0.703707543712904,0.0046659355020375725,1.0258716981137526,3
1.0258823090125413,2,0.703707543712904,-0.0046659355020375725,1.0258716981137526,3
1.010364415647073,2,0.3961249230613914,0.0,1.010364415647073,3
1.0006605815335492,2,0.10249901411623039,0.017701131853207885,1.0005040076712217,3
1.0006605815335492,2,0.10249901411623039,-0.017701131853207885,1.0005040076712217,3
1.0064461231687742,2,0.28970682289925437,0.0,1.0064461231687742,3
1.0000958766500394,2,0.0939270641093381,0.01373961921572245,1.000001492676995,3
1.0000958766500394,2,0.0939270641093381,-0.01373961921572245,1.000001492676995,3
1.003605876873233,2,0.2606920867461066,0.0,1.003605876873233,3
1.0002771044110408,2,0.1043096393130794,0.009593410260601369,1.0002310993408012,3
1.0002771044110408,2,0.1043096393130794,-0.009593410260601369,1.0002310993408012,3
1.0002602044353972,2,0.11925156934502983,0.0070834036090633165,1.0002351233437334,3
1.0002602044353972,2,0.11925156934502983,-0.0070834036090633165,1.0002351233437334,3
1.0404250916558755,2,0.6650560690675984,0.0,1.0404250916558755,4
1.0137232799643756,2,0.34778055118790957,0.009252028048174288,1.0136810584788134,4
1.0137232799643756,2,0.34778055118790957,-0.009252028048174288,1.0136810584788134,4
1.0134719815895445,2,0.6111744807058413,0.0029387217730462924,1.01346772093707,4
1.0134719815895445,2,0.6111744807058413,-0.0029387217730462924,1.01346772093707,4
1.0063670983814041,2,0.33012349115957124,0.0,1.0063670983814041,4
1.0164511903693971,3,0.10420692147584776,0.079602700249461,1.0133293800716323,0
1.0164511903693971,3,0.10420692147584776,-0.079602700249461,1.0133293800716323,0
1.0167688151840166,3,0.28326185129866105,0.057256869465483834,1.0151553942277614,0
1.0167688151840166,3,0.28326185129866105,-0.057256869465483834,1.0151553942277614,0
1.002007340346736,3,0.06450367163047026,0.04794908158468633,1.0008594285332604,0
1.002007340346736,3,0.06450367163047026,-0.04794908158468633,1.0008594285332604,0
1.0011917526721956,3,0.1403176903314254,0.03142492110029558,1.0006984560559005,0
1.0011917526721956,3,0.1403176903314254,-0.03142492110029558,1.0006984560559005,0
1.0001840807209699,3,0.03344031524974422,0.026774622686244955,0.9998256422535186,0
1.0001840807209699,3,0.03344031524974422,-0.026774622686244955,0.9998256422535186,0
1.0057929528877636,3,0.35264599422343185,0.01942083439947812,1.005605437172013,0
1.0057929528877636,3,0.35264599422343185,-0.01942083439947812,1.005605437172013,0
1.0010014638218316,3,0.22283794408368282,0.008499922606997914,1.000965374970146,0
1.0010014638218316,3,0.22283794408368282,-0.008499922606997914,1.000965374970146,0
1.0071580318448876,3,0.2895135343139771,0.10027980603877171,1.0021533124280406,1
1.0071580318448876,3,0.2895135343139771,-0.10027980603877171,1.0021533124280406,1
