case,cost,cost_ratio_to_oracle,final_norm,finite,init_norm,max_abs_u,max_norm,oracle,oracle_lqr_cost,seed
4,53.781120190432745,1.0647580967257824,0.0032329258283626335,True,6.916377401178031,49.92326081667971,10.936227307445037,M1,50.5101772466573,0
4,53.68446713858604,1.062844560541288,0.0010211525979641324,True,6.916377401178031,49.91476395930888,11.035390678659814,M1,50.5101772466573,1
4,53.70754908961812,1.0633015367843006,0.0018498257055763357,True,6.916377401178031,49.92967211332063,10.8733942541464,M1,50.5101772466573,2
5,16706.744227002528,48.61958846796413,48.84217222446473,True,6.822555499661363,49.999245324470756,1022.7957029045401,M1,343.62167088293535,0
5,11541.250062699732,33.587084403159174,33.16963257630474,True,6.822555499661363,49.99884086712127,856.4620488933897,M1,343.62167088293535,1
5,14342.899934558009,41.74038237374246,42.99050569784894,True,6.822555499661363,49.99941834023893,897.9068096049949,M1,343.62167088293535,2
6,2063014778.0459495,13029551.31613689,20880.74738854017,True,6.972093995846926,49.99999991987339,295474.9498348224,M1,158.33352415527455,0
6,682772725.6372142,4312243.596420127,9917.967638885526,True,6.972093995846926,49.99999958373634,239210.69648434655,M1,158.33352415527455,1
6,3038068496.7282624,19187777.907026745,24151.937384254114,True,6.972093995846926,49.99999929899595,378424.0658020472,M1,158.33352415527455,2
7,28.944399497723584,1.0040513336931278,0.26364315256496956,True,6.927963927533026,35.04104991913661,10.23658630853036,M1,28.82760923314502,0
7,28.954306876766662,1.0043950104428352,0.2636520983429643,True,6.927963927533026,36.11949290094734,10.23658630853036,M1,28.82760923314502,1
7,28.931431995100358,1.0036015044159807,0.2635161770996496,True,6.927963927533026,36.10021367616832,10.23658630853036,M1,28.82760923314502,2
