agrees,b,case,cost_ratio_to_oracle,delta_nu,dnu_valid,finite,markov_err_h10,observed_success,predicts_success,seed,teacher_mse,variant
True,0.00042509729351100715,3,1.0214865385686505,2.2848284488353368e-15,True,True,6.938893903907228e-18,True,True,0,None,M0_S4
True,0.00039569321916191113,3,1.0219391664892306,2.1466832553515766e-15,True,True,6.938893903907228e-18,True,True,1,None,M0_S4
True,0.0004370890927217292,3,1.0214919674712277,1.9433140684441502e-15,True,True,6.938893903907228e-18,True,True,2,None,M0_S4
True,0.0004206797104735556,3,1.022549915010665,1.7487550198003537e-15,True,True,6.938893903907228e-18,True,True,3,None,M0_S4
True,0.0004179497977999017,3,1.021454657573427,2.0832719782004774e-15,True,True,6.938893903907228e-18,True,True,4,None,M0_S4
True,0.00034857017952920273,4,1.064757957782406,1.4697369845988743e-15,True,True,3.469446951953614e-18,True,True,0,None,M0_S4
True,0.00033987028044188633,4,1.062844471052595,1.5524153540294056e-15,True,True,3.469446951953614e-18,True,True,1,None,M0_S4
True,0.0003462717216622438,4,1.0633014500020754,1.290974193173198e-15,True,True,3.469446951953614e-18,True,True,2,None,M0_S4
True,0.0003391578243449015,4,1.0637777557166024,1.5169560947620859e-15,True,True,3.469446951953614e-18,True,True,3,None,M0_S4
True,0.00034119074549314747,4,1.0638916060528485,1.3649142976970868e-15,True,True,3.469446951953614e-18,True,True,4,None,M0_S4
True,5.041477976789955e-05,5,2.2800423189514016,9.841434344433967e-16,True,True,6.938893903907228e-18,True,True,0,None,M0_S4
True,8.39289264058294e-06,5,4.125066013217443,8.367922974884712e-16,True,True,6.938893903907228e-18,True,True,1,None,M0_S4
True,9.0214006722239e-05,5,1.0802250714563888,8.892978928425566e-16,True,True,6.938893903907228e-18,True,True,2,None,M0_S4
False,8.001303993537836e-05,5,13.800110288193869,8.547926423755706e-16,True,True,6.938893903907228e-18,False,True,3,None,M0_S4
True,7.351556825532641e-05,5,1.1052051435582557,8.086408753655348e-16,True,True,6.938893903907228e-18,True,True,4,None,M0_S4
True,0.0008134479195230323,7,1.0040512288628538,1.057610375388473e-15,True,True,3.469446951953614e-18,True,True,0,None,M0_S4
True,0.0008126501036147074,7,1.0043949530825964,1.7728095388966228e-15,True,True,3.469446951953614e-18,True,True,1,None,M0_S4
True,0.0008008632848218558,7,1.0036014483687854,1.2279508417814787e-15,True,True,3.469446951953614e-18,True,True,2,None,M0_S4
True,0.0008108889319536415,7,1.003577806487711,1.1963274652978227e-15,True,True,3.469446951953614e-18,True,True,3,None,M0_S4
True,0.0008115825239758671,7,1.003800235333727,1.9761460482562966e-15,True,True,3.469446951953614e-18,True,True,4,None,M0_S4
True,0.0,1,311.20954886114254,1.0,False,True,0.010062011119162668,False,False,0,1.9232638509127502e-06,truncM3
True,0.00841875160642928,1,2593.0047373370944,1.0,False,True,0.010293012602878848,False,False,1,4.014777726083144e-05,truncM3
True,0.0,1,2341.98627452457,1.0,False,True,0.005742460628561023,False,False,2,2.3248718677662337e-06,truncM3
True,0.0,1,1597.076752872308,1.0,False,True,0.006846391890991349,False,False,3,2.7502641593041317e-06,truncM3
True,0.002365060733238301,1,3688.4180139334094,1.0,False,True,0.007101845491536658,False,False,4,1.044558940217064e-05,truncM3
True,0.0,2,125592.01542799389,1.0,False,True,0.015666542918050107,False,False,0,6.158046219675461e-05,truncM3
True,0.0,2,550022.3679619222,0.5853074803617205,True,True,0.014399712687262553,False,False,1,1.5146435820535216e-05,truncM3
True,0.0,2,58228.8971557001,1.0,False,True,0.011102670235400017,False,False,2,6.30963056616383e-05,truncM3
True,0.003069712239272436,2,266738.86555180146,1.0,False,True,0.020422321966169006,False,False,3,8.853882527948554e-05,truncM3
True,0.0,2,148008.68828112434,1.0,False,True,0.009616887334629528,False,False,4,6.199397781442335e-06,truncM3
True,0.0,3,3093.793065232969,1.0,False,True,0.013395014802730079,False,False,0,7.498291945640385e-06,truncM3
True,0.0,3,3711.5858943601484,0.6117105820755563,True,True,0.01706497834361901,False,False,1,3.2354165108069674e-06,truncM3
