case,cond_R_BtPB,dim,rel_residual,rho_design,seed,variant
4,1.03061683134921,6,9.541843965350634e-16,0.9477829878361298,1,M1_physonly
4,1.03061683134921,6,9.541843965350634e-16,0.9477829878361298,2,M1_physonly
4,1.03061683134921,6,9.541843965350634e-16,0.9477829878361298,3,M1_physonly
4,1.03061683134921,6,9.541843965350634e-16,0.9477829878361298,4,M1_physonly
5,1.0263523978139917,6,5.100879628568784e-15,0.9880976154266008,0,M1_physonly
5,1.0263523978139917,6,5.100879628568784e-15,0.9880976154266008,1,M1_physonly
5,1.0263523978139917,6,5.100879628568784e-15,0.9880976154266008,2,M1_physonly
5,1.0263523978139917,6,5.100879628568784e-15,0.9880976154266008,3,M1_physonly
5,1.0263523978139917,6,5.100879628568784e-15,0.9880976154266008,4,M1_physonly
7,1.0175474555515431,6,8.642833139175911e-16,0.9889036189364394,0,M1_physonly
7,1.0175474555515431,6,8.642833139175911e-16,0.9889036189364394,1,M1_physonly
7,1.0175474555515431,6,8.642833139175911e-16,0.9889036189364394,2,M1_physonly
7,1.0175474555515431,6,8.642833139175911e-16,0.9889036189364394,3,M1_physonly
7,1.0175474555515431,6,8.642833139175911e-16,0.9889036189364394,4,M1_physonly
1,1.0077444549678019,6,9.698419295784067e-16,0.9546564246191013,0,M0_S4_physonly
1,1.0077444549678019,6,9.698419295784067e-16,0.9546564246191013,1,M0_S4_physonly
1,1.0077444549678019,6,9.698419295784067e-16,0.9546564246191013,2,M0_S4_physonly
1,1.0077444549678019,6,9.698419295784067e-16,0.9546564246191013,3,M0_S4_physonly
1,1.0077444549678019,6,9.698419295784067e-16,0.9546564246191013,4,M0_S4_physonly
2,1.023212158079634,6,9.020540834622464e-16,0.9933836889767296,0,M0_S4_physonly
2,1.023212158079634,6,9.020540834622464e-16,0.9933836889767296,1,M0_S4_physonly
2,1.023212158079634,6,9.020540834622464e-16,0.9933836889767296,2,M0_S4_physonly
2,1.023212158079634,6,9.020540834622464e-16,0.9933836889767296,3,M0_S4_physonly
2,1.023212158079634,6,9.020540834622464e-16,0.9933836889767296,4,M0_S4_physonly
3,1.0345332526856499,6,1.2441038219663543e-15,0.9729057515245354,0,M0_S4_physonly
3,1.0345332526856499,6,1.2441038219663543e-15,0.9729057515245354,1,M0_S4_physonly
3,1.0345332526856499,6,1.2441038219663543e-15,0.9729057515245354,2,M0_S4_physonly
3,1.0345332526856499,6,1.2441038219663543e-15,0.9729057515245354,3,M0_S4_physonly
3,1.0345332526856499,6,1.2441038219663543e-15,0.9729057515245354,4,M0_S4_physonly
4,1.030616831349214,6,8.194909403058187e-16,0.9477829878361278,0,M0_S4_physonly
4,1.030616831349214,6,8.194909403058187e-16,0.9477829878361278,1,M0_S4_physonly
4,1.030616831349214,6,8.194909403058187e-16,0.9477829878361278,2,M0_S4_physonly
4,1.030616831349214,6,8.194909403058187e-16,0.9477829878361278,3,M0_S4_physonly
4,1.030616831349214,6,8.194909403058187e-16,0.9477829878361278,4,M0_S4_physonly
5,1.026352397813984,6,3.767983901252266e-15,0.9880976154266052,0,M0_S4_physonly
5,1.026352397813984,6,3.767983901252266e-15,0.9880976154266052,1,M0_S4_physonly
5,1.026352397813984,6,3.767983901252266e-15,0.9880976154266052,2,M0_S4_physonly
5,1.026352397813984,6,3.767983901252266e-15,0.9880976154266052,3,M0_S4_physonly
5,1.026352397813984,6,3.767983901252266e-15,0.9880976154266052,4,M0_S4_physonly
7,1.0175474555515442,6,7.674958462287872e-16,0.9889036189364508,0,M0_S4_physonly
7,1.0175474555515442,6,7.674958462287872e-16,0.9889036189364508,1,M0_S4_physonly
7,1.0175474555515442,6,7.674958462287872e-16,0.9889036189364508,2,M0_S4_physonly
7,1.0175474555515442,6,7.674958462287872e-16,0.9889036189364508,3,M0_S4_physonly
7,1.0175474555515442,6,7.674958462287872e-16,0.9889036189364508,4,M0_S4_physonly
