case,cond_R_BtPB,dim,rel_residual,rho_design,seed,variant
5,1.1346000857831822,1030,1.3046821105295602e-07,0.9999234291593363,1,M3_b320
5,1.117250466665161,1030,4.100996691384987e-09,0.9993632925515535,2,M3_b320
5,1.1120030026053842,1030,6.868883032090472e-09,0.9999497320916702,3,M3_b320
5,1.1817355132804157,1030,5.923039068935734e-08,0.9996692024923927,4,M3_b320
7,1.1882080071110346,1030,1.943868438763275e-09,0.9998162528748026,0,M3_b320
7,1.0762078808459767,1030,9.159112509510463e-09,0.9997175737380295,1,M3_b320
7,1.0444597019909159,1030,7.646424628253925e-09,0.9998696927443892,2,M3_b320
7,1.1720427253607941,1030,7.05933967131745e-09,0.9996854288957052,3,M3_b320
7,1.0749425341350456,1030,3.4251776926805935e-09,0.9999882507610048,4,M3_b320
1,1.0149940682904945,6,2.0362076487659096e-15,0.9562448710268634,0,M3_b320_physonly
1,1.009192564266351,6,6.553758991164483e-16,0.9529849907213088,1,M3_b320_physonly
1,1.0110691294035419,6,9.387128158283737e-16,0.9545809765044516,2,M3_b320_physonly
1,1.0081389133746725,6,8.79295288151808e-16,0.9548606209496416,3,M3_b320_physonly
1,1.0094792020974004,6,1.3986828580057274e-15,0.9540589128874022,4,M3_b320_physonly
2,1.0280735327418478,6,4.464009311820793e-15,0.9926859014361675,0,M3_b320_physonly
2,1.0399002633430579,6,3.1533159246311504e-15,0.9928228411445382,1,M3_b320_physonly
2,1.0686869683650293,6,1.1071278914017213e-15,0.9976031780620205,2,M3_b320_physonly
2,1.023299048987307,6,6.62458326452414e-15,0.9924803777065018,3,M3_b320_physonly
2,1.0265242117074076,6,1.888636279950037e-15,0.9906585178071579,4,M3_b320_physonly
3,1.041226357022704,6,1.408851619828569e-15,0.9730762053053372,0,M3_b320_physonly
3,1.0346461749355031,6,2.2043634532811714e-15,0.9727912472521898,1,M3_b320_physonly
3,1.0350392926320398,6,1.9970265799382632e-15,0.9730689198692185,2,M3_b320_physonly
3,1.0337498233814812,6,2.35260379478976e-15,0.9728912446163569,3,M3_b320_physonly
3,1.0343688855421518,6,3.07375480822235e-15,0.9734850957429891,4,M3_b320_physonly
4,1.0502647506346978,6,2.469263315331468e-15,0.9478744115713256,0,M3_b320_physonly
4,1.0592883574500245,6,1.161501340217154e-15,0.948272904297724,1,M3_b320_physonly
4,1.035239046659515,6,1.5986599038095586e-15,0.9499871045798248,2,M3_b320_physonly
4,1.0290102723624601,6,1.9299253775468306e-15,0.9491562263289617,3,M3_b320_physonly
4,1.0233212425303795,6,2.8772595214389287e-15,0.9562177132903427,4,M3_b320_physonly
5,1.0293542968187912,6,2.0770348061981906e-14,0.9901947694288113,0,M3_b320_physonly
5,1.0504263347798508,6,1.6313734484097346e-15,0.9907678302453171,1,M3_b320_physonly
5,1.061992241753997,6,3.748862339197611e-15,0.9943876655898103,2,M3_b320_physonly
5,1.065731083762216,6,1.1301888036407006e-14,0.9887879132657136,3,M3_b320_physonly
5,1.0323695235794033,6,2.149118393484849e-15,0.9882639848575174,4,M3_b320_physonly
7,1.0197157858208044,6,5.836303520932052e-16,0.9888167854563007,0,M3_b320_physonly
7,1.0181053667680375,6,1.1385260215587869e-15,0.9889893118945915,1,M3_b320_physonly
7,1.0183251404254368,6,7.551540785704376e-16,0.9892385642046885,2,M3_b320_physonly
7,1.0149829115234914,6,1.1271111557452598e-15,0.9881397528693969,3,M3_b320_physonly
7,1.018091202814869,6,1.015092608869737e-15,0.9892234251943564,4,M3_b320_physonly
1,1.007744454967802,6,6.49530237990358e-16,0.9546564246191132,0,M1_physonly
1,1.007744454967802,6,6.49530237990358e-16,0.9546564246191132,1,M1_physonly
1,1.007744454967802,6,6.49530237990358e-16,0.9546564246191132,2,M1_physonly
1,1.007744454967802,6,6.49530237990358e-16,0.9546564246191132,3,M1_physonly
1,1.007744454967802,6,6.49530237990358e-16,0.9546564246191132,4,M1_physonly
2,1.023212158079629,6,8.7108811561353e-15,0.9933836889767438,0,M1_physonly
2,1.023212158079629,6,8.7108811561353e-15,0.9933836889767438,1,M1_physonly
2,1.023212158079629,6,8.7108811561353e-15,0.9933836889767438,2,M1_physonly
2,1.023212158079629,6,8.7108811561353e-15,0.9933836889767438,3,M1_physonly
2,1.023212158079629,6,8.7108811561353e-15,0.9933836889767438,4,M1_physonly
3,1.0345332526856452,6,1.9607213297637805e-15,0.9729057515245383,0,M1_physonly
3,1.0345332526856452,6,1.9607213297637805e-15,0.9729057515245383,1,M1_physonly
3,1.0345332526856452,6,1.9607213297637805e-15,0.9729057515245383,2,M1_physonly
3,1.0345332526856452,6,1.9607213297637805e-15,0.9729057515245383,3,M1_physonly
3,1.0345332526856452,6,1.9607213297637805e-15,0.9729057515245383,4,M1_physonly
4,1.03061683134921,6,9.541843965350634e-16,0.9477829878361298,0,M1_physonly
