case,cond,delta_nu,dist_to_nearest_int,eta_P,eta_Phat,nearest_int,seed,valid,variant,wno
5,-3.92838851938965,1.0,0.07161148061035005,6,6,-4,1,False,fullM3,-3.92838851938965
5,5.043441804786536,1.0,0.0434418047865357,6,11,5,2,False,fullM3,0.04344180478653533
5,1.9991530885637623,1.0,0.0008469114362377184,6,12,2,3,False,fullM3,-4.000846911436238
5,-4.227219474913315,1.0,0.22721947491331473,6,2,-4,4,False,fullM3,-0.22721947491331454
7,2.970869343503031,1.0,0.02913065649696911,3,7,3,0,False,fullM3,-1.0291306564969689
7,16.064938537457195,1.0,0.06493853745719491,3,17,16,1,False,fullM3,2.064938537457195
7,3.9972150060845006,1.0,0.0027849939154993564,3,8,4,2,False,fullM3,-1.002784993915499
7,12.996024709015034,1.0,0.003975290984966406,3,14,13,3,False,fullM3,1.996024709015034
7,-2.0012698639429876,1.0,0.0012698639429875591,3,2,-2,4,False,fullM3,-1.0012698639429876
1,-1.949399799218563e-19,2.277372886535611e-16,1.949399799218563e-19,0,0,0,0,True,M0_S4,-1.949399799218563e-19
1,-2.8651464906018126e-19,2.1113839718355689e-16,2.8651464906018126e-19,0,0,0,1,True,M0_S4,-2.8651464906018126e-19
1,1.8567249895234717e-20,1.928676550880797e-16,1.8567249895234717e-20,0,0,0,2,True,M0_S4,1.8567249895234717e-20
1,-3.2498869286722316e-19,2.0957173790824159e-16,3.2498869286722316e-19,0,0,0,3,True,M0_S4,-3.2498869286722316e-19
1,-7.670741138139634e-20,2.0771058702027235e-16,7.670741138139634e-20,0,0,0,4,True,M0_S4,-7.670741138139634e-20
2,0.0,1.3041010867191018e-16,0.0,6,6,0,0,True,M0_S4,2.8282251024760244e-19
2,0.0,1.4387783163703597e-16,0.0,6,6,0,1,True,M0_S4,4.955185620700624e-19
2,0.0,1.0671447209096933e-16,0.0,6,6,0,2,True,M0_S4,9.872329976998948e-20
2,0.0,1.3554425065914328e-16,0.0,6,6,0,3,True,M0_S4,2.3462413811905625e-19
2,0.0,1.0559846562978549e-16,0.0,6,6,0,4,True,M0_S4,7.905542968541936e-20
3,1.7665713336612043e-08,0.004664179703862057,1.7665713336612043e-08,6,6,0,0,True,M0_S4,1.76657135465854e-08
3,-1.7449874434305457e-08,0.0016050722515985262,1.7449874434305457e-08,6,6,0,1,True,M0_S4,-1.7449874084510185e-08
3,-1.2505303459420247e-08,0.01770403818802146,1.2505303459420247e-08,6,6,0,2,True,M0_S4,-1.2505303147303378e-08
3,-3.939249904050257e-08,0.002511259270299542,3.939249904050257e-08,6,6,0,3,True,M0_S4,-3.939249900039224e-08
3,-9.593685845743494e-10,0.0023739165392353974,9.593685845743494e-10,6,6,0,4,True,M0_S4,-9.593688114808837e-10
4,3.689385106753207e-06,0.07506758965349007,3.689385106753207e-06,6,6,0,0,True,M0_S4,3.689385106696653e-06
4,-5.604511163603831e-06,0.058226827314408425,5.604511163603831e-06,6,6,0,1,True,M0_S4,-5.604511163334855e-06
4,-1.5900133050195109e-06,0.04547478894625806,1.5900133050195109e-06,6,6,0,2,True,M0_S4,-1.5900133050883132e-06
4,-3.270245206188349e-06,0.04839562712995814,3.270245206188349e-06,6,6,0,3,True,M0_S4,-3.2702452063147616e-06
4,4.4835991097613714e-06,0.048948455127429805,4.4835991097613714e-06,6,6,0,4,True,M0_S4,4.483599110094469e-06
5,0.0,2.0384095845410924e-16,0.0,6,6,0,0,True,M0_S4,4.2016651452287425e-19
5,0.0,1.8279067079924358e-16,0.0,6,6,0,1,True,M0_S4,2.1815238124720948e-18
5,0.0,2.7879658484865397e-16,0.0,6,6,0,2,True,M0_S4,2.8475318839432426e-18
5,0.0,1.8816060834268461e-16,0.0,6,6,0,3,True,M0_S4,1.2253306215589872e-18
5,0.0,2.8765004904997776e-16,0.0,6,6,0,4,True,M0_S4,9.286454867559937e-21
7,0.0,1.8002069927539695e-16,0.0,3,3,0,0,True,M0_S4,-3.366304367227167e-18
7,0.0,1.5047236871001405e-16,0.0,3,3,0,1,True,M0_S4,-1.030363324839025e-18
7,0.0,1.5220623490158144e-16,0.0,3,3,0,2,True,M0_S4,-3.3193392141268357e-19
7,0.0,1.6479341972490225e-16,0.0,3,3,0,3,True,M0_S4,-1.6272083956437764e-18
7,0.0,1.0591544372459622e-16,0.0,3,3,0,4,True,M0_S4,-3.930820528984625e-18
