cap,case,cost,cost_ratio_to_oracle,finite,seed,variant
100,1,9831.302219531784,531.3240931423295,True,0,M3
100,1,1205.147990346541,65.13116459801724,True,1,M3
100,1,1589.9832441565804,85.92924787060687,True,2,M3
100,1,1144.6497852815662,61.861592243805006,True,3,M3
100,1,2845.4482132245703,153.77974938776816,True,4,M3
100,2,147729622.93174484,199821.66344015652,True,0,M3
100,2,47693268.17345835,64510.74599791752,True,1,M3
100,2,4587623.078948877,6205.298955481398,True,2,M3
100,2,19784491.636105776,26760.84830238202,True,3,M3
100,2,22695806.14120517,30698.743056741463,True,4,M3
100,3,10395.137397014554,164.73667904080793,True,0,M3
100,3,101174.75808381311,1603.3644398265737,True,1,M3
100,3,25677.756238798287,406.9275976298185,True,2,M3
100,3,2486.640841963044,39.40697834257369,True,3,M3
100,3,35620.265134848596,564.4912578599772,True,4,M3
100,4,17502311.175837807,346510.5871707486,True,0,M3
100,4,1770248.9938856913,35047.37243825143,True,1,M3
100,4,5087972.699874299,100731.63424131548,True,2,M3
100,4,10050104.504292827,198971.87165301287,True,3,M3
100,4,1685328.9743352395,33366.126713538164,True,4,M3
100,5,180373775.41972628,524919.6738851079,True,0,M3
100,5,161934183.44422084,471257.19116646866,True,1,M3
100,5,80920363.46982066,235492.60808230142,True,2,M3
100,5,30524339.89169187,88831.24225913816,True,3,M3
100,5,78781731.63249977,229268.8101715769,True,4,M3
100,7,20249.43740319869,702.4320761194642,True,0,M3
100,7,4149.2306985472915,143.9325288819527,True,1,M3
100,7,29304.323991759124,1016.5367427717867,True,2,M3
100,7,85278.17222366646,2958.2117453436435,True,3,M3
100,7,21551.66813680545,747.6051157244792,True,4,M3
200,1,7952.171071563671,429.7681007829356,True,0,M3
200,1,9068.857008878651,490.1184114253981,True,1,M3
200,1,1497.2426127271144,80.91716190362143,True,2,M3
200,1,188.3240666884719,10.177808769965099,True,3,M3
200,1,1416.1240778163094,76.5331819347328,True,4,M3
200,2,99765668.43690218,134944.78240489107,True,0,M3
200,2,40979669.08673636,55429.81483085616,True,1,M3
200,2,9860429.067009276,13337.38825904815,True,2,M3
200,2,37696487.28929094,50988.925893874984,True,3,M3
200,2,20710652.6010737,28013.58976993953,True,4,M3
