ass_norm,asx_norm,axs_norm,case,has_latent,kappa_max,kappa_median,label,lambda_re_max,lambda_re_median,n_near_circle_ass,n_unstable_axx,non_normality_ass,seed,step_max,step_median,step_min
31.153404994317267,314.4147743233364,0.0,4,True,6360133288597971.0,107361346738778.53,M0_S4,-0.499999999999999,-0.499999999999999,26,6,0.007586579782298922,2,0.09831026062886865,0.017937897911171605,0.0019591677972965052
31.208113739254273,440.4020364778316,0.0,4,True,9095854578627178.0,755693968255459.2,M0_S4,-0.499999999999999,-0.499999999999999,51,6,0.007117401266058675,3,0.092163812613408,0.011973141595433836,0.001401436018783604
31.2683508891987,290.54974901214047,0.0,4,True,4894917635981792.0,653412924513796.5,M0_S4,-0.499999999999999,-0.499999999999999,40,6,0.007579380452108512,4,0.05751484003498715,0.010535785333068676,0.0010693348212689184
31.22105844395297,433.36766452311264,0.0,5,True,4938909374547474.0,246055750309295.56,M0_S4,-0.499999999999999,-0.499999999999999,48,6,0.007299364880314164,0,0.0931490314268387,0.012072560608911879,0.0011361919475263618
31.28148072742211,405.781265791101,0.0,5,True,2.2110756107170996e+16,1147418939422746.5,M0_S4,-0.499999999999999,-0.499999999999999,58,6,0.007165102982205609,1,0.06719952330698875,0.007939232708425972,0.0010144990204069098
31.306576919252805,215.30376118876612,0.0,5,True,1.3085311711342022e+16,1272936199918370.0,M0_S4,-0.499999999999999,-0.499999999999999,40,6,0.007339567534477269,2,0.08060619718594438,0.0074155964415163434,0.002459216660779079
31.14953445992907,559.5200665839247,0.0,5,True,1.3790689682101986e+16,670712501750568.0,M0_S4,-0.499999999999999,-0.499999999999999,40,6,0.007520982055412865,3,0.09818878978579094,0.018974591125469627,0.001142411784103948
31.28826999917746,414.17969141736046,0.0,5,True,9127175339627528.0,1021842596723113.1,M0_S4,-0.499999999999999,-0.499999999999999,61,6,0.006953146587796718,4,0.09000683411806881,0.010658737529446384,0.0013471638398370458
31.16745764439202,483.3825763482677,0.0,7,True,6243958565295170.0,177589377761428.22,M0_S4,-0.499999999999999,-0.499999999999999,55,3,0.00709750998907265,0,0.09636038723714643,0.017632551582611854,0.0013440706293387525
31.160178417951016,284.73210164064847,0.0,7,True,9346474784978608.0,940598285449553.0,M0_S4,-0.499999999999999,-0.499999999999999,38,3,0.00730451436593666,1,0.08504648753947523,0.02266844634349645,0.0014389966549670976
31.205197233285915,304.14512936782256,0.0,7,True,1.807632095821752e+16,2374672863730614.0,M0_S4,-0.499999999999999,-0.499999999999999,34,3,0.007314122519961334,2,0.06724098506999442,0.020147711762602487,0.0015189275663457188
31.200642945648944,410.798411847339,0.0,7,True,6608726281736127.0,387118385659206.06,M0_S4,-0.499999999999999,-0.499999999999999,34,3,0.007474394240733015,3,0.09089821001254025,0.013024335954386214,0.0014866761661321945
31.226627221687504,340.8917296653432,0.0,7,True,2.3817883018617892e+16,985760895077033.0,M0_S4,-0.499999999999999,-0.499999999999999,39,3,0.007392037838907878,4,0.07777128166714642,0.018466946671667258,0.0012626872256244566
30.979628146407382,0.8668137473854743,15.332786977693209,1,True,2705256042605628.5,4639198836442.368,M3_B320,-0.0001,-0.5906040539314692,358,1,0.0061231739125196406,0,0.0816165687959329,0.013469547837243512,0.0013869311364185784
30.949742799847304,0.9166039362095576,12.073653577179606,1,True,1165086085746406.8,5522571909610.68,M3_B320,-0.0001,-0.6141705265031476,312,1,0.007066173674969034,1,0.10414541475009512,0.017183992660618534,0.0015750061913812436
31.194871786265395,0.6134123921395678,9.722469195361308,1,True,539584681324659.6,14314469048626.572,M3_B320,-0.0001,-0.566230470499034,268,1,0.006962160126709301,2,0.03911071643054983,0.01463580412985343,0.0012754206924095017
31.42863713452587,0.37581522481203417,19.137017616551415,1,True,5087482761436104.0,10711916950733.547,M3_B320,-0.0001,-0.5543888443086049,662,1,0.005139867019790975,3,0.044938708449280364,0.002541480926889767,0.001
31.197339858626908,0.7804566012031126,16.15557665968695,1,True,556663482048704.9,6690973432663.327,M3_B320,-0.0001,-0.5895986737126832,374,1,0.006806729844455346,4,0.1060473183988901,0.008162498473954637,0.001
31.14682775931402,0.6025256141901384,14.791691182199818,2,True,3212339527222031.5,10487186155674.47,M3_B320,-0.0001,-0.5673023325137316,386,6,0.007001445037664348,0,0.10148097570512957,0.005878839634333281,0.0012372385316081979
31.165366901807392,0.5263899335818237,18.568484012093283,2,True,836202132692363.9,16262624112674.438,M3_B320,-0.0001,-0.5790073389393696,214,5,0.007536341515538784,1,0.06655777489819327,0.014344463999755551,0.0013485502515606352
30.984252638630387,0.61548435674093,24.517559646855048,2,True,2973230792919347.5,12110488442284.176,M3_B320,-0.0001,-0.6022710827193,316,6,0.00703553472134511,2,0.06555038574149412,0.011114864739658713,0.001618255892167141
31.171015775498176,0.5184285516175443,12.619528091286428,2,True,728213356816814.6,17631414564351.69,M3_B320,-0.0001,-0.5423784943496679,350,6,0.006751646356946001,3,0.13848912640996996,0.009592397927191248,0.0019197560131303509
31.134683388823568,0.49024655416887725,17.040418451913833,2,True,1715048266823407.8,4552060219042.978,M3_B320,-0.0001,-0.5753168669556052,338,5,0.006669057730435162,4,0.06717224772244179,0.01128360631380807,0.001
31.10345262303215,0.7838201302856663,14.878779140853098,3,True,400390520033855.2,12901599120440.195,M3_B320,-0.0001,-0.571194466249829,338,6,0.006704328330813078,0,0.10531693054932395,0.01697403247301236,0.001110338537364243
31.214908739083306,0.4761598296244135,16.323389375194427,3,True,1752993650340292.2,7552829224689.77,M3_B320,-0.0001,-0.5737302105255597,432,6,0.006514633084511739,1,0.04653645287556246,0.006406355398875055,0.001
31.076531858302783,0.653063002378165,12.747311864235078,3,True,3328865895590434.0,21928970798191.297,M3_B320,-0.0001,-0.6068723038166044,338,6,0.0072044607878464645,2,0.08542250716555823,0.009826456933050726,0.0019332430277590109
31.08068683347099,0.6951090280719135,17.786092678650284,3,True,3998147656160408.5,13204379348905.434,M3_B320,-0.0001,-0.5749610878196261,396,6,0.006454304806245272,3,0.08749978927225331,0.012007544829917505,0.001
31.110498464506115,0.6316355311992509,35.27734176595759,3,True,1784220108083478.8,3371383642461.2637,M3_B320,-0.0001,-0.5842559141490384,372,6,0.006617377461907129,4,0.07182759336490406,0.010807497862807583,0.001
30.97142344020756,0.6448927743778126,17.372262559641356,4,True,2022087392481111.8,13860871788806.41,M3_B320,-0.0001,-0.5902192191763299,350,6,0.007009687194980768,0,0.12112155271676206,0.007980500160256414,0.001036333794600648
30.99373736929508,0.5048911872229878,14.946950535133613,4,True,707331377530177.4,28675080766764.492,M3_B320,-0.0001,-0.6109720652792787,178,5,0.0075987186994147925,1,0.08970314709972765,0.019199834166722128,0.0016435095094045273
