abs_lambda,case,lambda_im,lambda_re,n_unstable,ref_scale_diag,rel_sv_ctrl,rel_sv_obs,seed,sv_ctrl,sv_obs,variant
1.0150753747589887,3,-0.10126005480700424,1.0100120879190426,,nan,0.023902828818603943,0.40528028542117306,4,0.007111084832762224,1.0000000000000002,M1
1.0201892731748468,3,0.050982691376277645,1.018914578500599,,nan,0.03445125008138812,0.40681206518205054,4,0.007122688915527144,1.0000000000000002,M1
1.0201892731748468,3,-0.050982691376277645,1.018914578500599,,nan,0.03445125008138812,0.40681206518205054,4,0.007122688915527144,1.0000000000000002,M1
1.010050256907496,4,0.0,1.010050256907496,,nan,0.10828304505189286,0.40796945008340846,0,0.009988697642415887,1.0,M1
1.0100502456050673,4,0.0,1.0100502456050673,,nan,0.10828303822835653,0.4079694500600549,0,0.009988697416692293,1.0,M1
1.02020201543007,4,0.0,1.02020201543007,,nan,0.10884557113370379,0.4079694324547122,0,0.010040894859039131,0.9999999999999999,M1
1.020202024973968,4,0.0,1.020202024973968,,nan,0.10884556636569961,0.40796943243495903,0,0.010040894762439044,0.9999999999999999,M1
1.015113357419758,4,0.0,1.015113357419758,,nan,0.10981278194172826,0.4079746897567916,0,0.010037531634001798,1.0,M1
1.015113342832126,4,0.0,1.015113342832126,,nan,0.10981278269937919,0.40797468975674084,0,0.010037531704151814,1.0,M1
1.010050256907496,4,0.0,1.010050256907496,,nan,0.10828304505189286,0.40796945008340846,1,0.009988697642415887,1.0,M1
1.0100502456050673,4,0.0,1.0100502456050673,,nan,0.10828303822835653,0.4079694500600549,1,0.009988697416692293,1.0,M1
1.02020201543007,4,0.0,1.02020201543007,,nan,0.10884557113370379,0.4079694324547122,1,0.010040894859039131,0.9999999999999999,M1
1.020202024973968,4,0.0,1.020202024973968,,nan,0.10884556636569961,0.40796943243495903,1,0.010040894762439044,0.9999999999999999,M1
1.015113357419758,4,0.0,1.015113357419758,,nan,0.10981278194172826,0.4079746897567916,1,0.010037531634001798,1.0,M1
1.015113342832126,4,0.0,1.015113342832126,,nan,0.10981278269937919,0.40797468975674084,1,0.010037531704151814,1.0,M1
1.010050256907496,4,0.0,1.010050256907496,,nan,0.10828304505189286,0.40796945008340846,2,0.009988697642415887,1.0,M1
1.0100502456050673,4,0.0,1.0100502456050673,,nan,0.10828303822835653,0.4079694500600549,2,0.009988697416692293,1.0,M1
1.02020201543007,4,0.0,1.02020201543007,,nan,0.10884557113370379,0.4079694324547122,2,0.010040894859039131,0.9999999999999999,M1
1.020202024973968,4,0.0,1.020202024973968,,nan,0.10884556636569961,0.40796943243495903,2,0.010040894762439044,0.9999999999999999,M1
1.015113357419758,4,0.0,1.015113357419758,,nan,0.10981278194172826,0.4079746897567916,2,0.010037531634001798,1.0,M1
1.015113342832126,4,0.0,1.015113342832126,,nan,0.10981278269937919,0.40797468975674084,2,0.010037531704151814,1.0,M1
1.010050256907496,4,0.0,1.010050256907496,,nan,0.10828304505189286,0.40796945008340846,3,0.009988697642415887,1.0,M1
1.0100502456050673,4,0.0,1.0100502456050673,,nan,0.10828303822835653,0.4079694500600549,3,0.009988697416692293,1.0,M1
