case,cond,delta_nu,dist_to_nearest_int,eta_P,eta_Phat,nearest_int,seed,valid,variant,wno
4,10.236721421003153,1.0,0.2367214210031534,6,16,10,0,False,fullM3,0.23672142100315263
4,-1.8963117646931762,1.0,0.1036882353068238,6,4,-2,1,False,fullM3,0.10368823530682343
4,-0.3939330336918836,0.9904054524969923,0.3939330336918836,6,5,0,2,True,fullM3,0.6060669663081164
4,1.0797872523099672,1.0,0.0797872523099672,6,7,1,3,False,fullM3,0.07978725230996744
4,3.0394291328392704,1.0,0.03942913283927041,6,9,3,4,False,fullM3,0.039429132839271
5,-0.07683941877053346,0.9895148356536526,0.07683941877053346,6,6,0,0,True,fullM3,-0.0768394187705331
5,0.24059361714958438,0.9953376515533952,0.24059361714958438,6,6,0,1,True,fullM3,0.24059361714958444
5,2.838087811209869,1.0,0.16191218879013114,6,11,3,2,False,fullM3,-2.161912188790131
5,6.184069056469745,1.0,0.18406905646974536,6,12,6,3,False,fullM3,0.18406905646974545
5,-4.1028467806529285,1.0,0.10284678065292852,6,2,-4,4,False,fullM3,-0.1028467806529287
7,5.299052127658463,1.0,0.299052127658463,3,7,5,0,False,fullM3,1.2990521276584637
7,16.466036392004945,1.0,0.46603639200494484,3,17,16,1,False,fullM3,2.466036392004946
7,6.4380844408053886,1.0,0.43808444080538855,3,8,6,2,False,fullM3,1.438084440805389
7,11.014037466425444,1.0,0.014037466425444123,3,14,11,3,False,fullM3,0.014037466425443963
7,-2.1744529296967765,1.0,0.1744529296967765,3,2,-2,4,False,fullM3,-1.1744529296967765
1,-2.130515926940387e-18,1.9208019573965509e-16,2.130515926940387e-18,0,0,0,0,True,M0_S4,-2.130515926940387e-18
1,4.840861429268633e-19,1.968584995923071e-16,4.840861429268633e-19,0,0,0,1,True,M0_S4,4.840861429268633e-19
1,-2.4023313705913047e-18,1.589031354118509e-16,2.4023313705913047e-18,0,0,0,2,True,M0_S4,-2.4023313705913047e-18
1,-1.82351020156405e-18,1.606286663897851e-16,1.82351020156405e-18,0,0,0,3,True,M0_S4,-1.82351020156405e-18
1,-3.2961655876176104e-19,1.97016364673054e-16,3.2961655876176104e-19,0,0,0,4,True,M0_S4,-3.2961655876176104e-19
2,0.0,1.0205160341290267e-16,0.0,6,6,0,0,True,M0_S4,-5.358206390198731e-19
2,0.0,1.1241231414538016e-16,0.0,6,6,0,1,True,M0_S4,-3.571160475080035e-18
2,0.0,7.380274357709348e-17,0.0,6,6,0,2,True,M0_S4,-4.405200898868134e-18
2,0.0,1.1826950814707325e-16,0.0,6,6,0,3,True,M0_S4,-3.2882678787123426e-20
2,0.0,9.625711598262256e-17,0.0,6,6,0,4,True,M0_S4,-1.7184388034726874e-18
3,1.7774585101548723e-06,0.004655736935060645,1.7774585101548723e-06,6,6,0,0,True,M0_S4,1.777458510552276e-06
3,-1.7541119756714352e-06,0.0016014846821252096,1.7541119756714352e-06,6,6,0,1,True,M0_S4,-1.7541119754467309e-06
3,-8.840361997997093e-07,0.017672856286929366,8.840361997997093e-07,6,6,0,2,True,M0_S4,-8.840362002268989e-07
3,-4.069680969109868e-06,0.002504489321735016,4.069680969109868e-06,6,6,0,3,True,M0_S4,-4.069680969331372e-06
3,-7.212387220789651e-08,0.002370993786431571,7.212387220789651e-08,6,6,0,4,True,M0_S4,-7.212387180214868e-08
4,-1.6452029056424067e-05,0.028975780895116012,1.6452029056424067e-05,6,6,0,0,True,M0_S4,-1.6452029056428597e-05
4,-7.236977091373831e-05,0.04521071281695388,7.236977091373831e-05,6,6,0,1,True,M0_S4,-7.236977091364872e-05
4,5.591088802692212e-05,0.04211113726819055,5.591088802692212e-05,6,6,0,2,True,M0_S4,5.591088802728929e-05
4,-2.581619563724047e-05,0.03471743609811004,2.581619563724047e-05,6,6,0,3,True,M0_S4,-2.581619563760945e-05
4,-1.3231301848826149e-05,0.03024196641691023,1.3231301848826149e-05,6,6,0,4,True,M0_S4,-1.3231301849069432e-05
5,0.0,1.2576806419730127e-16,0.0,6,6,0,0,True,M0_S4,4.5478697425615224e-18
5,0.0,1.5628252112381148e-16,0.0,6,6,0,1,True,M0_S4,-1.5960865567749581e-18
5,0.0,2.190635232024446e-16,0.0,6,6,0,2,True,M0_S4,-1.5832598618503303e-17
5,0.0,2.0552159798951261e-16,0.0,6,6,0,3,True,M0_S4,-8.441585218441086e-18
5,0.0,2.942067144307364e-16,0.0,6,6,0,4,True,M0_S4,1.9798958834881384e-18
7,0.0,1.50096160823573e-16,0.0,3,3,0,0,True,M0_S4,-2.5816373678859116e-18
7,0.0,1.4981368397563107e-16,0.0,3,3,0,1,True,M0_S4,-3.7439696797612356e-18
7,0.0,9.741392858897188e-17,0.0,3,3,0,2,True,M0_S4,-2.801613907816521e-17
7,0.0,1.5104536999464181e-16,0.0,3,3,0,3,True,M0_S4,4.505318417874008e-18
7,0.0,9.797470868344604e-17,0.0,3,3,0,4,True,M0_S4,-4.116802328734233e-18
