N,b_own,b_transfer,case,d_model,finite,label,n_total,n_unstable,ratio_transfer,real_internal_dim,rho_own,rho_transfer,seed,teacher_mse
16,0.0004937120202122316,0.0,4,8,True,d256,262,9,80100859.6800983,256,0.9997688511943196,1.045192182301121,2,5.1418396529132434e-05
16,0.00023937378769318786,0.0,4,8,True,d256,262,8,287176710.8401508,256,0.9996188389424451,1.0522953239281292,3,1.015391529674926e-05
16,0.0004434982721001854,0.0,4,8,True,d256,262,9,113277.8504051326,256,0.9997524008657541,1.0311681343625385,4,3.418348061247346e-05
16,0.00046884322974162957,0.0,5,8,True,d256,262,8,48165.97365204236,256,0.999842815354769,1.0348202098498425,0,2.325276806046774e-05
16,0.0005263181399412212,0.0,5,8,True,d256,262,2,11899026445.091125,256,0.9994525229661164,1.0678315949751171,1,2.892808968975949e-05
16,0.001036015222692782,0.0,5,8,True,d256,262,5,10818823.011823177,256,0.999006023854379,1.0509753431722968,2,4.233685871245743e-05
16,0.006366537950353361,0.0,5,8,True,d256,262,5,697407.4524275075,256,0.9975701708291423,1.04208957639873,3,1.8976643305871063e-05
16,0.0001591499431209994,0.0,5,8,True,d256,262,8,3532.859130514885,256,0.9995321035639159,1.0299629160736037,4,1.161114659850195e-05
16,0.001365311740223446,0.0,7,8,True,d256,262,5,17.21142156588897,256,0.9995989744854741,1.007581913332961,0,3.022872760572363e-06
16,0.0026137918727944737,0.0,7,8,True,d256,262,6,778.9638619322524,256,0.9994040148805101,1.0106388499425596,1,2.6393746065614944e-06
16,6.963080955814445e-05,0.0,7,8,True,d256,262,4,978.3295764366362,256,0.99972875101448,1.0120391066561827,2,1.0021817486934123e-06
16,0.00027816253194782193,0.0,7,8,True,d256,262,4,1497.1666557664055,256,0.9997335120040105,1.0210207546673622,3,2.306719733745641e-06
16,0.0003957958136761114,0.0,7,8,True,d256,262,8,124.8523652750962,256,0.9996776198943537,1.0085949529996558,4,7.63347005184831e-07
